createAt,manageObject,M8046C0,M8046C1,M8046C2,M8046C4,M8046C3,M8046C5
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,8,326,175.0,761.0,16.0,7263.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,8,326,175.0,761.0,16.0,7263.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,8,326,175.0,761.0,16.0,7263.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,8,326,175.0,761.0,16.0,7263.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7,339,47.0,537.0,10.0,7729.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7,339,47.0,537.0,10.0,7729.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7,339,47.0,537.0,10.0,7729.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7,339,47.0,537.0,10.0,7729.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,8,472,33.0,646.0,9.0,8325.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,8,472,33.0,646.0,9.0,8325.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,8,472,33.0,646.0,9.0,8325.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,8,472,33.0,646.0,9.0,8325.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,7,345,164.0,761.0,14.0,10188.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,7,345,164.0,761.0,14.0,10188.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,7,345,164.0,761.0,14.0,10188.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,7,345,164.0,761.0,14.0,10188.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,7,397,88.0,762.0,11.0,10652.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,7,397,88.0,762.0,11.0,10652.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,7,397,88.0,762.0,11.0,10652.0
