createAt,manageObject,M8001C427,M8001C428,M8001C430,M8001C431,M8001C432,M8001C433,M8001C0,M8001C1,M8001C2,M8001C4,M8001C11,M8001C12,M8001C132,M8001C133,M8001C135,M8001C136,M8001C137,M8001C138,M8001C139,M8001C140,M8001C141,M8001C142,M8001C143,M8001C144,M8001C145,M8001C146,M8001C153,M8001C154,M8001C155,M8001C213,M8001C214,M8001C215,M8001C222,M8001C270,M8001C313,M8001C8,M8001C9,M8001C10,M8001C45,M8001C46,M8001C47,M8001C48,M8001C49,M8001C50,M8001C51,M8001C52,M8001C53,M8001C54,M8001C56,M8001C57,M8001C58,M8001C59,M8001C60,M8001C61,M8001C63,M8001C64,M8001C65,M8001C66,M8001C67,M8001C68,M8001C69,M8001C70,M8001C71,M8001C72,M8001C73,M8001C103,M8001C104,M8001C105,M8001C106,M8001C107,M8001C108,M8001C109,M8001C110,M8001C111,M8001C112,M8001C114,M8001C115,M8001C116,M8001C117,M8001C118,M8001C119,M8001C121,M8001C122,M8001C123,M8001C124,M8001C125,M8001C126,M8001C127,M8001C128,M8001C129,M8001C130,M8001C156,M8001C158,M8001C159,M8001C160,M8001C161,M8001C162,M8001C163,M8001C164,M8001C165,M8001C167,M8001C170,M8001C202,M8001C204,M8001C207,M8001C208,M8001C216,M8001C218,M8001C219,M8001C220,M8001C236,M8001C237,M8001C238,M8001C239,M8001C240,M8001C241,M8001C244,M8001C421,M8001C422,M8001C423,M8001C6,M8001C13,M8001C14,M8001C15,M8001C16,M8001C17,M8001C18,M8001C19,M8001C20,M8001C21,M8001C22,M8001C23,M8001C24,M8001C25,M8001C26,M8001C27,M8001C28,M8001C29,M8001C30,M8001C31,M8001C32,M8001C33,M8001C34,M8001C35,M8001C36,M8001C37,M8001C38,M8001C39,M8001C40,M8001C41,M8001C42,M8001C43,M8001C44,M8001C74,M8001C75,M8001C76,M8001C77,M8001C78,M8001C79,M8001C80,M8001C81,M8001C82,M8001C83,M8001C84,M8001C85,M8001C86,M8001C87,M8001C88,M8001C89,M8001C90,M8001C91,M8001C92,M8001C93,M8001C94,M8001C95,M8001C96,M8001C97,M8001C98,M8001C99,M8001C100,M8001C101,M8001C102,M8001C177,M8001C178,M8001C179,M8001C180,M8001C181,M8001C182,M8001C183,M8001C184,M8001C185,M8001C186,M8001C187,M8001C188,M8001C189,M8001C190,M8001C191,M8001C192,M8001C194,M8001C195,M8001C197,M8001C217,M8001C274,M8001C275,M8001C276,M8001C277,M8001C278,M8001C279,M8001C280,M8001C281,M8001C286,M8001C292,M8001C293,M8001C294,M8001C303,M8001C304,M8001C424,M8001C425,M8001C435,M8001C436,M8001C437,M8001C438,M8001C439,M8001C440,M8001C441,M8001C442,M8001C443,M8001C444,M8001C445,M8001C446,M8001C447,M8001C448,M8001C449,M8001C450,M8001C451,M8001C452,M8001C453,M8001C454,M8001C455,M8001C456,M8001C457,M8001C458,M8001C459,M8001C460,M8001C461,M8001C462,M8001C463,M8001C464,M8001C465,M8001C466,M8001C467,M8001C468,M8001C469,M8001C470,M8001C471,M8001C472,M8001C473,M8001C474,M8001C475,M8001C476,M8001C477,M8001C478,M8001C479,M8001C480,M8001C481,M8001C482,M8001C483,M8001C484,M8001C485,M8001C486,M8001C487,M8001C131,M8001C193,M8001C196,M8001C291,M8001C488,M8001C209,M8001C55,M8001C168,M8001C171,M8001C172,M8001C174,M8001C175,M8001C157,M8001C203,M8001C169,M8001C176,M8001C205,M8001C426,M8001C206,M8001C62,M8001C243,M8001C242,M8001C7,M8001C113,M8001C120,M8001C166
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,101.0,3.0,25.0,30.0,28.0,15.0,3.0,761.0,175.0,1.0,289869,48637.0,51828.0,636.0,16149.0,963.0,148086.0,4218.0,108116.0,7538.0,147653.0,124267.0,71.0,3373.0,10170.0,52880.0,16144.0,51023.0,1330.0,1.0,54.0,241.0,74.0,175.0,175.0,457.0,36.0,90000,1436.0,5217.0,6845.0,11654.0,23767.0,27209.0,24664.0,23109.0,14315.0,9049.0,8949.0,7474.0,6417.0,6286.0,4417.0,4297.0,5839.0,3415.0,970.0,576.0,649.0,787.0,423.0,639.0,439.0,1504.0,4.0,27.0,38.0,130.0,993.0,1544.0,2845.0,2475.0,2880.0,2195.0,1628.0,1026.0,996.0,742.0,757.0,670.0,320.0,986.0,750.0,276.0,91.0,69.0,89.0,66.0,104.0,64.0,240.0,2.0,1.0,4.0,19.0,21.0,16.0,17.0,11.0,1.0,2.0,1.0,5.0,2.0,3.0,16.0,23,224995,74.0,36.0,1936.0,610.0,391.0,4.0,1.0,45.0,7.0,82.0,77.0,74.0,383.0,84763.0,30638.0,73141.0,6415.0,9616.0,122930.0,24238.0,9848.0,4015.0,2175.0,1835.0,1139.0,1014.0,832.0,742.0,550.0,427.0,294.0,261.0,216.0,205.0,264.0,125.0,108.0,18.0,118.0,158.0,40.0,8.0,27.0,478.0,445.0,725.0,1501.0,27259.0,3415.0,1393.0,499.0,211.0,150.0,55.0,45.0,32.0,51.0,33.0,50.0,26.0,35.0,20.0,16.0,22.0,12.0,10.0,3.0,10.0,11.0,4.0,1.0,5.0,7.0,6.0,189.0,384.0,6520.0,374.0,113.0,77.0,60.0,28.0,12.0,15.0,5.0,7.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,20,7.0,22.0,435.0,424.0,1.0,2.0,5.0,1.0,74.0,1.0,3.0,1.0,105.0,65049.0,6.0,6.0,4919.0,6712.0,71442.0,19262.0,7904.0,3174.0,1727.0,1564.0,1022.0,907.0,782.0,664.0,497.0,346.0,257.0,223.0,196.0,183.0,234.0,113.0,83.0,11.0,105.0,136.0,36.0,571.0,1219.0,20793.0,3177.0,1313.0,468.0,201.0,144.0,50.0,35.0,28.0,50.0,29.0,43.0,26.0,33.0,20.0,15.0,21.0,12.0,10.0,3.0,10.0,9.0,4.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,73.0,3.0,16.0,22.0,25.0,7.0,3.0,537.0,47.0,56.0,203213,7604.0,73992.0,554.0,27242.0,383.0,58810.0,468.0,46329.0,9710.0,58429.0,59947.0,70.0,3061.0,4007.0,74186.0,27236.0,73673.0,57.0,1.0,81.0,458.0,86.0,47.0,47.0,841.0,38.0,90000,720.0,8761.0,794.0,345.0,365.0,313.0,133.0,383.0,500.0,251.0,278.0,159.0,390.0,2717.0,782.0,913.0,746.0,1789.0,1301.0,1530.0,1640.0,3692.0,2429.0,3538.0,6242.0,34394.0,609.0,5.0,11.0,8.0,9.0,16.0,13.0,5.0,4.0,9.0,6.0,4.0,4.0,8.0,15.0,11.0,12.0,46.0,76.0,84.0,133.0,145.0,189.0,151.0,336.0,624.0,746.0,,,,,,,,,,,,1.0,,,1.0,23,224995,86.0,38.0,4.0,1.0,248.0,,,7.0,,63.0,52.0,48.0,798.0,45503.0,9023.0,40582.0,2988.0,3595.0,43304.0,7001.0,2855.0,2121.0,1723.0,1585.0,1284.0,1181.0,1127.0,997.0,979.0,988.0,1377.0,1046.0,997.0,1358.0,2330.0,998.0,276.0,556.0,1535.0,1720.0,1705.0,1821.0,1811.0,4175.0,1675.0,194.0,375.0,7569.0,854.0,328.0,235.0,203.0,164.0,89.0,101.0,134.0,175.0,139.0,126.0,148.0,193.0,142.0,177.0,147.0,125.0,49.0,118.0,143.0,144.0,172.0,276.0,246.0,322.0,241.0,137.0,115.0,4685.0,203.0,11.0,5.0,5.0,2.0,5.0,10.0,6.0,7.0,4.0,6.0,8.0,16.0,13.0,8.0,2.0,20,1499.0,1508.0,3740.0,1334.0,244.0,209.0,206.0,91.0,48.0,4.0,5.0,2.0,207.0,34529.0,12.0,12.0,2214.0,2648.0,17619.0,5597.0,2374.0,1804.0,1430.0,1345.0,1107.0,1018.0,946.0,780.0,788.0,833.0,1165.0,808.0,794.0,1127.0,2136.0,809.0,215.0,409.0,1335.0,1499.0,1491.0,106.0,245.0,3641.0,682.0,286.0,200.0,185.0,144.0,62.0,82.0,121.0,145.0,89.0,99.0,108.0,122.0,99.0,122.0,112.0,92.0,42.0,78.0,116.0,107.0,136.0,5.0,7.0,8.0,70.0,8.0,11.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,101.0,4.0,24.0,33.0,31.0,7.0,3.0,646.0,33.0,,318965,15224.0,205002.0,635.0,54417.0,518.0,172122.0,1221.0,97396.0,13781.0,171694.0,110780.0,103.0,4895.0,1760.0,204793.0,54406.0,204206.0,181.0,1.0,48.0,436.0,88.0,33.0,33.0,1142.0,39.0,90000,1077.0,10498.0,707.0,706.0,897.0,1252.0,1726.0,2615.0,2159.0,1589.0,1151.0,1568.0,1337.0,4356.0,1330.0,677.0,452.0,1567.0,715.0,1075.0,1334.0,3696.0,2902.0,5393.0,17972.0,125409.0,4772.0,21.0,7.0,8.0,15.0,22.0,31.0,64.0,178.0,174.0,232.0,156.0,135.0,131.0,121.0,105.0,66.0,75.0,28.0,25.0,37.0,84.0,152.0,249.0,293.0,692.0,852.0,,,,,,,,,,,,1.0,,,2.0,23,224995,88.0,39.0,69.0,62.0,206.0,,,3.0,,81.0,76.0,71.0,1074.0,81025.0,24359.0,76409.0,4497.0,5697.0,99604.0,16409.0,6119.0,2806.0,2031.0,2233.0,1726.0,1637.0,1635.0,1573.0,1525.0,1348.0,1356.0,1359.0,1497.0,1644.0,2021.0,2153.0,599.0,1255.0,1947.0,2327.0,1754.0,1441.0,1663.0,2882.0,9072.0,301.0,897.0,24558.0,2522.0,926.0,316.0,156.0,157.0,104.0,108.0,80.0,146.0,87.0,101.0,137.0,185.0,155.0,122.0,108.0,129.0,50.0,132.0,160.0,180.0,195.0,151.0,107.0,115.0,410.0,118.0,92.0,7233.0,172.0,4.0,6.0,3.0,7.0,1.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,9.0,13.0,2.0,20,1282.0,1545.0,2745.0,8642.0,145.0,105.0,113.0,403.0,87.0,2.0,3.0,6.0,153.0,67707.0,11.0,11.0,3543.0,4271.0,44144.0,13340.0,5029.0,2331.0,1739.0,1886.0,1454.0,1366.0,1421.0,1273.0,1297.0,1123.0,1098.0,1068.0,1234.0,1404.0,1777.0,1951.0,543.0,1097.0,1745.0,2070.0,1532.0,217.0,741.0,14337.0,2189.0,820.0,266.0,127.0,106.0,51.0,53.0,47.0,109.0,67.0,76.0,92.0,127.0,100.0,96.0,72.0,82.0,37.0,120.0,147.0,169.0,188.0,1.0,6.0,17.0,324.0,7.0,10.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,89.0,3.0,13.0,27.0,33.0,11.0,3.0,761.0,164.0,,307878,39094.0,77799.0,573.0,27801.0,545.0,164932.0,1612.0,240361.0,9331.0,164517.0,254695.0,265.0,10606.0,5859.0,78534.0,27799.0,77075.0,946.0,1.0,83.0,452.0,88.0,164.0,164.0,663.0,42.0,90000,1309.0,6405.0,1240.0,1604.0,3847.0,6494.0,8796.0,15238.0,19549.0,21074.0,26616.0,32765.0,15536.0,9820.0,7522.0,8641.0,7739.0,2977.0,1307.0,1337.0,1135.0,1533.0,1528.0,1262.0,1184.0,3671.0,21.0,2.0,10.0,45.0,67.0,191.0,525.0,898.0,1098.0,1809.0,3003.0,2965.0,3830.0,2947.0,1264.0,708.0,582.0,1872.0,734.0,167.0,168.0,148.0,193.0,172.0,174.0,155.0,374.0,,,,,,,,,2.0,1.0,,,,1.0,2.0,23,224995,89.0,42.0,932.0,1698.0,484.0,,4.0,13.0,,81.0,72.0,66.0,598.0,159840.0,86752.0,196850.0,6391.0,9981.0,311523.0,56028.0,35599.0,9743.0,2585.0,1791.0,1141.0,936.0,848.0,831.0,558.0,609.0,582.0,553.0,520.0,493.0,538.0,469.0,140.0,210.0,266.0,190.0,134.0,122.0,154.0,255.0,256.0,661.0,2323.0,93651.0,7949.0,5411.0,1825.0,302.0,210.0,85.0,79.0,62.0,83.0,69.0,55.0,39.0,63.0,40.0,37.0,25.0,12.0,3.0,30.0,29.0,18.0,8.0,7.0,5.0,14.0,24.0,148.0,266.0,13036.0,398.0,125.0,49.0,27.0,12.0,8.0,3.0,5.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,,20,109.0,149.0,241.0,232.0,7.0,5.0,14.0,24.0,70.0,,,,102.0,182266.0,10.0,10.0,5131.0,6595.0,153194.0,46627.0,29489.0,7658.0,2153.0,1493.0,999.0,845.0,754.0,734.0,481.0,534.0,520.0,466.0,452.0,446.0,495.0,451.0,135.0,174.0,230.0,165.0,126.0,637.0,1917.0,60907.0,7474.0,5068.0,1716.0,279.0,199.0,84.0,78.0,61.0,82.0,67.0,53.0,38.0,60.0,38.0,32.0,23.0,9.0,2.0,29.0,29.0,18.0,8.0,1.0,1.0,,4.0,2.0,1.0,1.0,,,2.0,4.0,3.0,2.0,9.0,1.0,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,61.0,4.0,11.0,19.0,24.0,5.0,3.0,762.0,88.0,1.0,579581,74045.0,347281.0,451.0,179839.0,342.0,430649.0,622.0,459324.0,20158.0,430343.0,497938.0,308.0,11166.0,19511.0,349970.0,179831.0,346828.0,2785.0,1.0,64.0,548.0,65.0,88.0,88.0,669.0,31.0,90000,1616.0,12156.0,852.0,1369.0,2489.0,4259.0,6589.0,10007.0,14674.0,24505.0,52023.0,55331.0,42113.0,39595.0,20493.0,19925.0,15675.0,10443.0,9742.0,12259.0,17073.0,19843.0,13701.0,17964.0,17753.0,66890.0,2527.0,2.0,13.0,30.0,23.0,73.0,195.0,521.0,794.0,1018.0,2517.0,4900.0,6785.0,5644.0,3381.0,2706.0,2187.0,4195.0,942.0,863.0,1059.0,1581.0,2337.0,2170.0,2402.0,2517.0,5506.0,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,23,225010,64.0,31.0,421.0,3000.0,1980.0,2.0,1.0,7.0,,54.0,51.0,48.0,621.0,319570.0,151483.0,266358.0,8182.0,16293.0,468455.0,88745.0,38267.0,11089.0,6871.0,8303.0,6129.0,5861.0,4809.0,4594.0,4020.0,4003.0,4926.0,4681.0,5374.0,7141.0,8862.0,9000.0,1591.0,5018.0,3664.0,2376.0,1617.0,1566.0,1431.0,1984.0,2555.0,1089.0,4255.0,146153.0,13681.0,6402.0,1496.0,653.0,1103.0,606.0,833.0,657.0,923.0,597.0,541.0,481.0,509.0,478.0,323.0,382.0,426.0,113.0,562.0,420.0,347.0,256.0,253.0,204.0,205.0,323.0,83.0,143.0,11653.0,115.0,5.0,11.0,3.0,8.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,7.0,1.0,3.0,,20,1290.0,1203.0,1677.0,2181.0,246.0,200.0,193.0,314.0,58.0,3.0,7.0,3.0,108.0,253686.0,6.0,6.0,6517.0,11216.0,255731.0,74635.0,31739.0,9493.0,6146.0,7079.0,5459.0,4986.0,4118.0,3627.0,3407.0,3448.0,4418.0,4124.0,4881.0,6801.0,8447.0,8559.0,1478.0,4413.0,3206.0,1994.0,1340.0,979.0,3756.0,102305.0,13305.0,6216.0,1438.0,630.0,1042.0,567.0,806.0,640.0,911.0,577.0,526.0,467.0,489.0,459.0,313.0,356.0,420.0,113.0,543.0,401.0,333.0,235.0,10.0,6.0,1.0,173.0,3.0,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,42.0,1.0,13.0,11.0,12.0,3.0,3.0,313.0,14.0,,143530,1874.0,6344.0,307.0,6207.0,235.0,6356.0,284.0,15182.0,1943.0,6113.0,17322.0,20.0,934.0,357.0,6487.0,6199.0,6176.0,8.0,1.0,22.0,204.0,52.0,14.0,14.0,409.0,37.0,90000,563.0,1769.0,97.0,225.0,166.0,227.0,196.0,373.0,314.0,255.0,457.0,440.0,195.0,903.0,280.0,87.0,56.0,175.0,96.0,138.0,122.0,201.0,188.0,220.0,512.0,2095.0,2.0,,1.0,,1.0,4.0,,15.0,14.0,6.0,9.0,21.0,34.0,18.0,12.0,19.0,2.0,10.0,14.0,1.0,1.0,4.0,4.0,7.0,13.0,20.0,25.0,,,,,,,1.0,,,,,,,,,23,225015,52.0,37.0,7.0,13.0,10.0,,,,,32.0,29.0,25.0,383.0,9818.0,6842.0,20183.0,337.0,1257.0,26898.0,2589.0,579.0,350.0,377.0,359.0,197.0,221.0,200.0,259.0,295.0,288.0,231.0,213.0,231.0,183.0,226.0,228.0,58.0,137.0,207.0,211.0,155.0,217.0,126.0,129.0,85.0,11.0,284.0,8674.0,450.0,68.0,25.0,23.0,47.0,14.0,26.0,14.0,10.0,34.0,21.0,11.0,31.0,27.0,19.0,19.0,22.0,1.0,20.0,30.0,35.0,29.0,34.0,18.0,21.0,11.0,1.0,97.0,1478.0,136.0,10.0,1.0,,,1.0,,1.0,2.0,2.0,,,,2.0,1.0,,20,163.0,101.0,87.0,56.0,31.0,10.0,12.0,7.0,26.0,1.0,1.0,,144.0,18080.0,3.0,3.0,315.0,610.0,10976.0,1857.0,468.0,313.0,349.0,307.0,174.0,192.0,181.0,236.0,243.0,254.0,216.0,175.0,195.0,153.0,196.0,198.0,57.0,114.0,157.0,154.0,122.0,8.0,124.0,5062.0,345.0,61.0,21.0,20.0,39.0,11.0,21.0,14.0,8.0,24.0,18.0,10.0,18.0,19.0,12.0,10.0,10.0,1.0,16.0,17.0,29.0,22.0,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,58.0,2.0,8.0,22.0,19.0,5.0,3.0,761.0,115.0,64.0,194220,29404.0,39731.0,527.0,18092.0,358.0,51573.0,4057.0,104477.0,5882.0,51262.0,112299.0,441.0,12171.0,2347.0,38932.0,18081.0,37863.0,864.0,1.0,78.0,356.0,73.0,115.0,115.0,356.0,35.0,90000,1132.0,4375.0,548.0,747.0,691.0,863.0,831.0,1660.0,2395.0,3446.0,6631.0,9059.0,6963.0,7416.0,5817.0,4268.0,4833.0,5172.0,4168.0,3363.0,2503.0,2901.0,1345.0,2439.0,1412.0,2711.0,3.0,5.0,11.0,14.0,14.0,20.0,35.0,18.0,42.0,74.0,163.0,223.0,420.0,545.0,578.0,494.0,426.0,621.0,391.0,418.0,513.0,439.0,296.0,185.0,335.0,231.0,239.0,,,,1.0,,,,1.0,1.0,1.0,2.0,,,1.0,2.0,23,225000,74.0,35.0,30.0,380.0,551.0,,,18.0,2.0,59.0,53.0,47.0,303.0,61537.0,47376.0,161512.0,6881.0,6087.0,223479.0,14473.0,6012.0,2974.0,1874.0,1432.0,911.0,792.0,776.0,775.0,621.0,504.0,405.0,260.0,296.0,260.0,266.0,264.0,23.0,109.0,161.0,183.0,192.0,163.0,94.0,106.0,52.0,276.0,1059.0,65339.0,2525.0,840.0,344.0,222.0,185.0,80.0,69.0,39.0,64.0,61.0,57.0,27.0,32.0,40.0,15.0,9.0,17.0,2.0,6.0,11.0,22.0,14.0,19.0,16.0,19.0,11.0,338.0,310.0,15521.0,250.0,107.0,86.0,61.0,34.0,21.0,10.0,19.0,25.0,4.0,3.0,4.0,1.0,1.0,1.0,,20,118.0,70.0,73.0,37.0,11.0,12.0,16.0,9.0,53.0,,,,120.0,144450.0,8.0,8.0,5015.0,3726.0,90824.0,10885.0,4728.0,2281.0,1407.0,1079.0,733.0,660.0,641.0,601.0,534.0,418.0,341.0,219.0,237.0,236.0,235.0,230.0,21.0,97.0,125.0,138.0,146.0,116.0,643.0,37443.0,2240.0,809.0,315.0,205.0,146.0,75.0,55.0,27.0,39.0,47.0,43.0,22.0,29.0,24.0,13.0,8.0,15.0,2.0,6.0,11.0,18.0,10.0,,1.0,,,1.0,1.0,,,,,1.0,,2.0,4.0,,,,1.0,1.0,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,102.0,3.0,28.0,25.0,25.0,16.0,3.0,749.0,20.0,39.0,159168,8077.0,16293.0,878.0,12616.0,522.0,18452.0,1363.0,50007.0,4461.0,17915.0,55641.0,75.0,3332.0,1300.0,16135.0,12612.0,15436.0,117.0,1.0,19.0,130.0,118.0,20.0,20.0,794.0,37.0,90000,2432.0,4154.0,529.0,871.0,1472.0,1656.0,1269.0,1313.0,1112.0,648.0,462.0,894.0,629.0,2654.0,790.0,314.0,325.0,427.0,328.0,475.0,447.0,576.0,561.0,1085.0,1958.0,4665.0,32.0,9.0,7.0,1.0,16.0,24.0,81.0,99.0,71.0,61.0,70.0,50.0,46.0,76.0,42.0,68.0,56.0,67.0,38.0,27.0,27.0,21.0,42.0,52.0,79.0,226.0,309.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,23,224995,117.0,37.0,42.0,22.0,79.0,1.0,1.0,1.0,,95.0,83.0,71.0,723.0,38294.0,16070.0,59098.0,4139.0,8679.0,75146.0,10042.0,4368.0,2534.0,1475.0,1174.0,701.0,598.0,494.0,540.0,410.0,361.0,320.0,331.0,365.0,378.0,524.0,120.0,36.0,97.0,101.0,78.0,98.0,95.0,50.0,68.0,140.0,254.0,1365.0,18067.0,1410.0,679.0,381.0,234.0,197.0,76.0,85.0,52.0,83.0,58.0,45.0,38.0,28.0,30.0,11.0,24.0,7.0,3.0,10.0,18.0,7.0,17.0,13.0,6.0,10.0,16.0,87.0,397.0,6025.0,159.0,34.0,27.0,19.0,15.0,7.0,13.0,9.0,22.0,7.0,5.0,7.0,9.0,8.0,5.0,,20,82.0,44.0,56.0,103.0,12.0,6.0,8.0,3.0,78.0,,,,116.0,51628.0,18.0,18.0,3485.0,5699.0,31918.0,8134.0,3538.0,1999.0,1141.0,918.0,599.0,481.0,412.0,407.0,324.0,301.0,264.0,270.0,309.0,332.0,478.0,107.0,33.0,67.0,72.0,64.0,81.0,201.0,939.0,10754.0,1259.0,573.0,345.0,202.0,157.0,57.0,53.0,39.0,45.0,36.0,34.0,25.0,21.0,25.0,11.0,23.0,5.0,3.0,9.0,12.0,6.0,16.0,4.0,4.0,1.0,7.0,5.0,2.0,,,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,56.0,3.0,8.0,18.0,16.0,9.0,3.0,677.0,38.0,,208237,14898.0,79629.0,681.0,23774.0,363.0,63498.0,2953.0,111140.0,8211.0,63181.0,123356.0,297.0,11241.0,5012.0,78127.0,23754.0,77700.0,233.0,1.0,60.0,423.0,71.0,38.0,38.0,779.0,27.0,90000,3211.0,6878.0,962.0,1520.0,1458.0,1495.0,1285.0,2381.0,1687.0,1146.0,1241.0,1317.0,935.0,3554.0,1010.0,633.0,625.0,1632.0,629.0,661.0,502.0,1565.0,638.0,3009.0,5855.0,41914.0,212.0,6.0,18.0,27.0,29.0,26.0,40.0,54.0,103.0,84.0,93.0,97.0,96.0,83.0,99.0,67.0,61.0,136.0,87.0,59.0,65.0,64.0,84.0,66.0,170.0,320.0,693.0,1.0,2.0,,1.0,,1.0,,,1.0,,1.0,2.0,1.0,1.0,7.0,23,224995,71.0,27.0,42.0,44.0,167.0,2.0,2.0,6.0,,62.0,54.0,49.0,726.0,76825.0,41439.0,150126.0,3009.0,7099.0,197868.0,19546.0,9847.0,4019.0,1862.0,1641.0,1185.0,1274.0,1349.0,1368.0,1241.0,1123.0,1410.0,1350.0,1402.0,1409.0,2901.0,1351.0,603.0,597.0,873.0,992.0,1063.0,819.0,568.0,497.0,125.0,149.0,1244.0,51383.0,3123.0,1520.0,700.0,357.0,183.0,103.0,87.0,110.0,183.0,134.0,129.0,118.0,175.0,127.0,100.0,122.0,113.0,147.0,79.0,51.0,67.0,62.0,78.0,115.0,48.0,35.0,341.0,545.0,16298.0,251.0,11.0,31.0,5.0,9.0,8.0,5.0,6.0,11.0,2.0,2.0,2.0,2.0,14.0,13.0,2.0,20,713.0,453.0,441.0,86.0,72.0,115.0,48.0,35.0,63.0,,2.0,1.0,202.0,131779.0,14.0,13.0,1591.0,3705.0,80100.0,15707.0,8270.0,3225.0,1494.0,1433.0,1050.0,1169.0,1219.0,1150.0,1100.0,989.0,1284.0,1168.0,1242.0,1263.0,2729.0,1186.0,448.0,513.0,803.0,895.0,984.0,70.0,697.0,30398.0,2865.0,1417.0,635.0,325.0,158.0,91.0,85.0,108.0,179.0,127.0,124.0,117.0,175.0,127.0,97.0,111.0,113.0,147.0,78.0,49.0,66.0,62.0,1.0,6.0,9.0,25.0,8.0,13.0,8.0,5.0,,,,,,,,,,,1.0,,1.0,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,47.0,2.0,6.0,16.0,12.0,6.0,3.0,745.0,44.0,4.0,201806,12063.0,59799.0,456.0,18034.0,240.0,60758.0,1533.0,63154.0,5677.0,60525.0,69635.0,153.0,5768.0,1212.0,59071.0,18031.0,58759.0,50.0,1.0,55.0,472.0,50.0,44.0,44.0,657.0,26.0,90000,1798.0,4577.0,516.0,927.0,1216.0,1012.0,982.0,1887.0,1660.0,2288.0,3816.0,5430.0,4511.0,4241.0,1950.0,1009.0,709.0,1713.0,611.0,831.0,679.0,1230.0,368.0,1132.0,3483.0,29254.0,521.0,1.0,3.0,1.0,8.0,25.0,26.0,72.0,96.0,95.0,199.0,425.0,584.0,577.0,420.0,352.0,167.0,149.0,72.0,35.0,67.0,59.0,84.0,46.0,63.0,116.0,315.0,1.0,,,,,,,,,1.0,,1.0,,1.0,3.0,23,224995,50.0,26.0,58.0,339.0,116.0,1.0,1.0,,,49.0,40.0,35.0,627.0,44697.0,22736.0,84595.0,3183.0,5166.0,108036.0,11370.0,5189.0,1942.0,1431.0,1262.0,904.0,710.0,722.0,624.0,753.0,640.0,611.0,603.0,643.0,571.0,659.0,1078.0,363.0,741.0,794.0,700.0,547.0,480.0,478.0,733.0,1096.0,255.0,781.0,28963.0,1634.0,907.0,300.0,135.0,101.0,73.0,47.0,35.0,62.0,88.0,95.0,63.0,82.0,100.0,44.0,60.0,60.0,65.0,127.0,78.0,42.0,32.0,51.0,38.0,27.0,69.0,52.0,166.0,9114.0,139.0,28.0,30.0,19.0,18.0,14.0,2.0,9.0,4.0,10.0,8.0,5.0,3.0,4.0,,1.0,20,424.0,428.0,694.0,1019.0,49.0,34.0,26.0,67.0,45.0,3.0,3.0,2.0,107.0,74329.0,14.0,12.0,2693.0,3713.0,41145.0,9310.0,4166.0,1520.0,1204.0,1094.0,774.0,653.0,649.0,548.0,629.0,528.0,527.0,512.0,516.0,512.0,599.0,1006.0,294.0,606.0,677.0,650.0,503.0,197.0,554.0,16264.0,1435.0,842.0,273.0,121.0,73.0,56.0,43.0,31.0,50.0,69.0,72.0,58.0,73.0,96.0,40.0,58.0,60.0,65.0,126.0,75.0,42.0,31.0,2.0,9.0,2.0,3.0,7.0,3.0,1.0,3.0,,1.0,,,,,,,1.0,,,,2.0,1.0,,,,,,,
