createAt,manageObject,M8011C86,M8011C95,M8011C101,M8011C107,M8011C189,M8011C191,M8011C25,M8011C26,M8011C27,M8011C28,M8011C29,M8011C30,M8011C31,M8011C32,M8011C33,M8011C34,M8011C36,M8011C37,M8011C51,M8011C54,M8011C57,M8011C58,M8011C79,M8011C226,M8011C12,M8011C13,M8011C14,M8011C15,M8011C16,M8011C17,M8011C18,M8011C19,M8011C20,M8011C21,M8011C23,M8011C24,M8011C38,M8011C39,M8011C40,M8011C41,M8011C42,M8011C43,M8011C44,M8011C45,M8011C46,M8011C47,M8011C49,M8011C50,M8011C55,M8011C56,M8011C60,M8011C61,M8011C74,M8011C227,M8011C297,M8011C298,M8011C323,M8011C324,M8011C325,M8011C326,M8011C327,M8011C328,M8011C317,M8011C321,M8011C322,M8011C318,M8011C319,M8011C320,M8011C59
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,79.0,79.0,661409,36857,9760,1211.0,421.0,3957.0,21743.0,10027.0,2889.0,151726.0,92,196,4412795,4152081.0,2.0,3.0,900000,4152081.0,715272,124046.0,39147.0,5618.0,6451.0,3234.0,267.0,5832.0,34.0,99.0,95.0,45.0,14436872,121.0,57579.0,102603,293461.0,149.0,7.0,6.0,159.0,4928857,3600000,788857.0,2.0,2.0,558355,341645,900000,787375.0,156.0,165.0,16.0,1.0,5.0,122.0,35.0,109.0,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,82.0,82.0,789139,46649,11857,1402.0,532.0,628.0,4866.0,3145.0,1065.0,40717.0,92,63,1425100,1162826.0,1.0,3.0,900000,1162826.0,811556,56846.0,9918.0,2864.0,3240.0,2208.0,214.0,12968.0,49.0,137.0,95.0,30.0,12693624,19.0,119164.0,72645,40867.0,16.0,1.0,,,4658365,3600000,518365.0,1.0,3.0,775800,124200,900000,518785.0,15.0,2.0,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,86.0,86.0,689808,40026,11016,2078.0,2217.0,1519.0,14445.0,10139.0,2839.0,125913.0,92,166,3724536,3461066.0,2.0,4.0,900000,3461066.0,737138,104676.0,25859.0,7275.0,7207.0,3283.0,814.0,10852.0,647.0,2249.0,100.0,48.0,13127688,619.0,260474.0,83697,98013.0,119.0,1.0,1.0,18.0,4979780,3600000,839780.0,2.0,4.0,720804,179196,900000,842080.0,97.0,42.0,3.0,1.0,,15.0,3.0,16.0,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,87.0,87.0,661021,39730,11058,2008.0,987.0,2784.0,17717.0,9678.0,2957.0,152060.0,92,194,4350711,4089137.0,2.0,3.0,900000,4089137.0,478906,283026.0,100691.0,14904.0,12122.0,3242.0,1055.0,4965.0,164.0,925.0,95.0,97.0,14234576,531.0,256293.0,153633,306673.0,53.0,356.0,178.0,2276.0,5824135,3600000,1684135.0,5.0,3.0,583286,316714,900000,1687661.0,791.0,2072.0,11.0,260.0,127.0,1795.0,526.0,1667.0,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,60.0,60.0,482460,34631,10787,4579.0,3955.0,4709.0,34836.0,21506.0,6905.0,295632.0,92,371,8363046,8101492.0,6.0,4.0,900000,8101492.0,281429,383982.0,135498.0,28594.0,21160.0,9265.0,3768.0,13624.0,4435.0,18245.0,100.0,171.0,14976168,9234.0,664792.0,234570,407067.0,804.0,119.0,102.0,2348.0,7103457,3600000,2963457.0,8.0,4.0,490461,409539,900000,2959598.0,1599.0,1774.0,40.0,31.0,58.0,1467.0,670.0,926.0,15.0,12.0,3.0,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,48.0,48.0,838038,45710,11595,407.0,190.0,179.0,428.0,394.0,135.0,2924.0,92,16,365572,105038.0,,2.0,900000,105038.0,863886,29163.0,4118.0,405.0,376.0,255.0,21.0,1764.0,5.0,7.0,95.0,8.0,12631080,2.0,12123.0,63870,33032.0,,,,1.0,4283642,3600000,143642.0,,2.0,783598,116402,900000,143642.0,,1.0,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,70.0,70.0,772391,45275,12264,1587.0,749.0,1962.0,6300.0,3378.0,1188.0,54906.0,92,80,1799372,1539062.0,1.0,2.0,900000,1539062.0,635196,210482.0,33166.0,3414.0,4785.0,3089.0,283.0,9271.0,39.0,275.0,100.0,59.0,13770072,70.0,74905.0,158317,187554.0,26.0,22.0,19.0,138.0,5159406,3600000,1019406.0,3.0,3.0,641139,258861,900000,1019540.0,63.0,142.0,7.0,16.0,9.0,50.0,21.0,61.0,,,1.0,1.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,122.0,122.0,824798,46680,12271,1419.0,838.0,715.0,1695.0,1480.0,449.0,9655.0,92,27,615482,353404.0,,3.0,900000,353404.0,791830,70486.0,19544.0,3744.0,6049.0,3046.0,449.0,4426.0,63.0,363.0,95.0,29.0,13112704,46.0,57515.0,73489,76518.0,12.0,18.0,5.0,38.0,4646242,3600000,506242.0,1.0,4.0,723509,176491,900000,506108.0,24.0,49.0,4.0,14.0,3.0,24.0,18.0,27.0,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,82.0,82.0,779450,46216,12920,2356.0,892.0,1005.0,5629.0,3611.0,1129.0,46792.0,92,72,1614860,1352886.0,1.0,3.0,900000,1352886.0,650435,176964.0,35584.0,7669.0,9373.0,3887.0,939.0,11819.0,460.0,2870.0,100.0,65.0,13900608,284.0,140648.0,108050,169234.0,39.0,4.0,26.0,176.0,5269458,3600000,1129458.0,3.0,4.0,624612,275388,900000,1131331.0,96.0,149.0,3.0,3.0,17.0,146.0,65.0,104.0,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,900,900,900,900,58.0,58.0,782555,44642,12113,1480.0,619.0,856.0,5941.0,3455.0,998.0,47341.0,92,71,1591295,1329813.0,1.0,3.0,900000,1329813.0,758344,94760.0,22962.0,4631.0,7354.0,2990.0,654.0,7720.0,157.0,428.0,100.0,38.0,13155376,115.0,93149.0,95976,103305.0,14.0,21.0,49.0,434.0,4810399,3600000,670399.0,2.0,4.0,718305,181695,900000,669059.0,205.0,313.0,4.0,7.0,6.0,232.0,91.0,158.0,,,,,,,
