createAt,manageObject,M8012C0,M8012C2,M8012C12,M8012C16,M8012C17,M8012C18,M8012C70,M8012C71,M8012C75,M8012C76,M8012C77,M8012C78,M8012C79,M8012C80,M8012C107,M8012C108,M8012C133,M8012C134,M8012C164,M8012C173,M8012C187,M8012C191,M8012C197,M8012C205,M8012C206,M8012C212,M8012C213,M8012C263,M8012C267,M8012C302,M8012C303,M8012C304,M8012C307,M8012C22,M8012C25,M8012C19,M8012C20,M8012C23,M8012C26,M8012C27,M8012C28,M8012C29,M8012C30,M8012C31,M8012C32,M8012C33,M8012C34,M8012C35,M8012C36,M8012C38,M8012C39,M8012C40,M8012C41,M8012C42,M8012C43,M8012C45,M8012C46,M8012C47,M8012C74,M8012C81,M8012C82,M8012C83,M8012C84,M8012C85,M8012C86,M8012C87,M8012C88,M8012C90,M8012C148,M8012C149,M8012C150,M8012C179,M8012C180,M8012C183,M8012C184,M8012C214,M8012C215,M8012C219,M8012C1,M8012C3,M8012C48,M8012C49,M8012C50,M8012C51,M8012C52,M8012C53,M8012C54,M8012C55,M8012C56,M8012C57,M8012C58,M8012C59,M8012C60,M8012C61,M8012C62,M8012C63,M8012C64,M8012C65,M8012C66,M8012C67,M8012C68,M8012C89,M8012C144,M8012C145,M8012C146,M8012C147,M8012C152,M8012C153,M8012C154,M8012C155,M8012C181,M8012C182,M8012C185,M8012C186,M8012C255,M8012C256,M8012C257,M8012C258,M8012C293,M8012C69,M8012C37,M8012C44
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,61920,17334.0,16.0,10.0,3626.0,61881,17.0,3610.0,18.0,57921.0,15.0,18.0,3160.0,57501.0,22131232.0,224949.0,436773024.0,224934.0,120801.0,188045.0,436773024.0,224934.0,4908.0,57919.0,3626.0,3486.0,613.0,5079144.0,74952.0,447795696.0,227628.0,436773024.0,224934.0,358.0,6489.0,3127226.0,56824623.0,38.0,702.0,45637.0,149081.0,768350.0,1727700.0,4405770.0,6349554.0,6819853.0,7436216.0,5251372.0,3758565.0,4153549.0,4047900.0,3942111.0,3636162.0,3182095.0,3502085.0,5218259.0,3227237.0,978206.0,2.0,492310.0,714329.0,879633.0,404661.0,753151.0,523937.0,1692727.0,7632.0,152410.0,587250.0,397542.0,434829.0,2407.0,9778.0,2348.0,9778.0,21474.0,42614.0,69883.0,827.0,3378.0,130503.0,242348.0,2426166.0,921420.0,539118.0,255825.0,164043.0,159482.0,110471.0,107574.0,88036.0,76177.0,51017.0,53844.0,39101.0,37022.0,29932.0,30555.0,42964.0,27849.0,23338.0,193908.0,2300.0,22474.0,49394.0,20222.0,1776.0,7291.0,166340.0,190431.0,758.0,2607.0,744.0,2411.0,2300.0,3651.0,10260.0,3825.0,193908.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,80818,5783.0,12.0,6.0,6014.0,80670,8.0,6006.0,15.0,76720.0,8.0,17.0,5589.0,76471.0,31546872.0,82921.0,578436784.0,50188.0,39346.0,48323.0,578436784.0,50188.0,13216.0,76708.0,6014.0,11408.0,2502.0,20030184.0,186122.0,584520800.0,51690.0,578436784.0,50188.0,1449.0,8030.0,5536167.0,76261311.0,62.0,852.0,7887.0,73632.0,85206.0,17785.0,22129.0,15974.0,18322.0,50242.0,58948.0,45103.0,73442.0,27191.0,50746.0,204597.0,173430.0,225537.0,508264.0,792803.0,939407.0,2.0,1171362.0,1401852.0,2855382.0,1717649.0,4344241.0,9770267.0,57092858.0,995283.0,65756.0,1312.0,669.0,395020.0,12681.0,14191.0,12037.0,14172.0,28163.0,38215.0,88029.0,1261.0,6942.0,87833.0,126965.0,901282.0,334400.0,277938.0,261778.0,259501.0,241442.0,215433.0,207617.0,211426.0,178167.0,169661.0,181180.0,197706.0,209903.0,199189.0,268052.0,474251.0,272782.0,139720.0,85470.0,168920.0,397065.0,509408.0,564381.0,645015.0,642229.0,1353399.0,937149.0,1283.0,10277.0,1215.0,9736.0,168920.0,357780.0,425516.0,477536.0,85470.0,1.0,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,246696,11264.0,18.0,5.0,10223.0,246261,8.0,10214.0,20.0,242314.0,8.0,21.0,9861.0,241606.0,53999992.0,140224.0,1858902256.0,166005.0,87611.0,160750.0,1858902256.0,165844.0,17921.0,242299.0,10223.0,11833.0,3466.0,27636344.0,281049.0,1880888000.0,173232.0,1858902256.0,165844.0,1236.0,8667.0,9755841.0,240787603.0,95.0,2375.0,42607.0,97646.0,52712.0,52847.0,97306.0,164887.0,345716.0,596630.0,482920.0,419221.0,356917.0,570920.0,505460.0,608380.0,314966.0,197355.0,225256.0,343933.0,286945.0,2.0,537259.0,956772.0,2934130.0,2382691.0,5811559.0,27370955.0,201696620.0,6359064.0,168180.0,22767.0,36436.0,320986.0,12971.0,14301.0,11537.0,14199.0,52590.0,86560.0,151695.0,1609.0,12486.0,124922.0,171910.0,1949825.0,636465.0,375910.0,248602.0,225252.0,256368.0,230569.0,232913.0,232544.0,192411.0,196119.0,203177.0,231194.0,245290.0,295887.0,296128.0,397228.0,542737.0,252487.0,159945.0,354217.0,682979.0,903931.0,751982.0,567689.0,674293.0,1088994.0,4491110.0,1261.0,3712.0,1027.0,2877.0,354217.0,554383.0,736571.0,657870.0,159945.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,87845,19324.0,13.0,7.0,7382.0,87695,10.0,7374.0,16.0,83755.0,11.0,18.0,6684.0,83252.0,48289016.0,377639.0,638316808.0,193941.0,297489.0,186369.0,638316808.0,193941.0,10408.0,83732.0,7382.0,7089.0,1146.0,9335816.0,146357.0,647591584.0,191107.0,638316808.0,193941.0,1295.0,6266.0,6633365.0,83013084.0,74.0,905.0,43631.0,70413.0,84944.0,146442.0,604206.0,1406263.0,2347357.0,4666278.0,7162695.0,8702590.0,12020710.0,17680573.0,9310084.0,5175772.0,4818168.0,6483125.0,6464627.0,2526959.0,1119225.0,2.0,1165851.0,1038635.0,1371835.0,1174400.0,1116795.0,1283007.0,4146846.0,30312.0,167219.0,351540.0,1040542.0,505076.0,3760.0,13685.0,3570.0,13685.0,26214.0,49609.0,91832.0,2183.0,6021.0,111913.0,235500.0,5770279.0,1838012.0,1808754.0,639519.0,230944.0,192820.0,145281.0,132876.0,120665.0,126987.0,77380.0,90633.0,90617.0,97456.0,87818.0,79145.0,99499.0,92943.0,33582.0,419054.0,46386.0,55606.0,53606.0,33106.0,32762.0,44140.0,75011.0,100412.0,684.0,2695.0,638.0,1739.0,46386.0,50295.0,49256.0,32568.0,419054.0,1.0,374.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,282163,46643.0,11.0,3.0,23251.0,281064,5.0,23244.0,13.0,277154.0,4.0,14.0,20918.0,275698.0,150921200.0,816109.0,2091946840.0,454325.0,602344.0,435122.0,2091946840.0,454259.0,51360.0,277102.0,23251.0,37865.0,6590.0,52909688.0,928574.0,2131903088.0,472976.0,2091946840.0,454259.0,978.0,7171.0,20553024.0,274683386.0,201.0,2642.0,44904.0,104555.0,43300.0,87682.0,384155.0,828030.0,1519961.0,2531207.0,4184009.0,8460569.0,20513947.0,25953470.0,21457247.0,16448762.0,12906671.0,13880203.0,11901763.0,6754685.0,6893084.0,2.0,9727319.0,12644971.0,18712251.0,11773327.0,18855006.0,19401722.0,70725188.0,3178773.0,358512.0,159705.0,1899838.0,2545288.0,6390.0,13833.0,5000.0,13064.0,34294.0,71686.0,238544.0,5533.0,19666.0,160713.0,392138.0,8782310.0,2902073.0,1809291.0,864222.0,915624.0,1398603.0,1214504.0,1242729.0,970256.0,752938.0,600287.0,582983.0,624215.0,627613.0,715010.0,813589.0,1243992.0,1418528.0,349203.0,619642.0,835382.0,655000.0,485504.0,395469.0,399386.0,383815.0,472592.0,1001365.0,1174.0,5215.0,815.0,3309.0,835382.0,655000.0,485504.0,395469.0,619642.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,8424,644.0,8.0,4.0,861.0,8613,5.0,857.0,8.0,4647.0,5.0,9.0,811.0,4624.0,4723552.0,27463.0,29848288.0,4888.0,17867.0,3994.0,29848288.0,4888.0,2673.0,4651.0,861.0,2082.0,410.0,3323608.0,32656.0,32164680.0,5695.0,29848288.0,4888.0,280.0,5775.0,797190.0,4561026.0,22.0,123.0,6039.0,14592.0,2895.0,4325.0,8890.0,16901.0,33230.0,55557.0,35558.0,78431.0,178933.0,138712.0,78709.0,123287.0,55162.0,22569.0,31294.0,73323.0,19016.0,1.0,39416.0,76264.0,113569.0,101586.0,158822.0,681168.0,3204335.0,1644.0,7906.0,2275.0,8037.0,13629.0,11422.0,13974.0,11422.0,13974.0,12205.0,13273.0,26068.0,261.0,890.0,9277.0,29703.0,492371.0,79098.0,35818.0,33310.0,54253.0,54567.0,28727.0,37433.0,31680.0,42966.0,54003.0,61597.0,45306.0,44621.0,44251.0,36547.0,54146.0,64198.0,26656.0,34181.0,55769.0,52775.0,59867.0,44293.0,77201.0,39076.0,44147.0,30857.0,367.0,624.0,367.0,624.0,55769.0,52775.0,59867.0,44293.0,34181.0,1.0,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,43590,19938.0,12.0,4.0,3148.0,43570,6.0,3142.0,14.0,39630.0,5.0,15.0,2845.0,39419.0,19310544.0,210192.0,281469048.0,71460.0,142012.0,63599.0,281469048.0,71352.0,8177.0,39608.0,3148.0,5827.0,843.0,6828640.0,89270.0,293716680.0,69578.0,281469048.0,71352.0,327.0,6484.0,2809449.0,38144004.0,41.0,530.0,26819.0,37719.0,28175.0,21535.0,44259.0,75033.0,92184.0,241870.0,520854.0,1138198.0,2913211.0,4586321.0,4107665.0,3651444.0,3191175.0,3268198.0,4135579.0,4596922.0,4201890.0,2.0,3685623.0,2986609.0,3792327.0,1631703.0,3546762.0,2019909.0,4287485.0,4098.0,58121.0,9878.0,272742.0,723622.0,5091.0,13094.0,4963.0,12837.0,19547.0,30741.0,63433.0,1141.0,2624.0,196309.0,186019.0,4143004.0,577887.0,460254.0,273376.0,201166.0,153898.0,105057.0,89800.0,85292.0,79410.0,67494.0,64209.0,54110.0,39780.0,48026.0,52432.0,54203.0,50130.0,5425.0,261612.0,22189.0,32187.0,38713.0,48086.0,42591.0,26084.0,31042.0,18814.0,503.0,1633.0,484.0,1633.0,22189.0,32077.0,38713.0,48086.0,261612.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,16351,2691.0,20.0,7.0,2082.0,16397,11.0,2072.0,24.0,12426.0,11.0,25.0,1920.0,12358.0,12826176.0,78526.0,77912784.0,15299.0,50498.0,12710.0,77912784.0,15299.0,6913.0,12434.0,2082.0,5047.0,1131.0,9151448.0,90213.0,84356904.0,17759.0,77912784.0,15299.0,1051.0,6962.0,1894508.0,12162672.0,31.0,195.0,32522.0,35269.0,28696.0,57359.0,157488.0,261144.0,258280.0,301950.0,219568.0,192092.0,155166.0,294438.0,241673.0,277126.0,220344.0,127012.0,193641.0,149743.0,119994.0,4.0,159569.0,197283.0,414924.0,352415.0,1035469.0,2547382.0,7113419.0,49395.0,22396.0,13254.0,15046.0,128062.0,7804.0,13853.0,7283.0,13853.0,28481.0,50775.0,80731.0,526.0,1926.0,93834.0,222663.0,1502913.0,426451.0,326900.0,251264.0,158506.0,117149.0,66285.0,62322.0,47567.0,50638.0,47219.0,47487.0,41548.0,47074.0,61849.0,58496.0,92812.0,21886.0,8564.0,103754.0,25065.0,18081.0,19292.0,30406.0,28069.0,12758.0,15110.0,57762.0,651.0,1418.0,607.0,1415.0,25065.0,18081.0,19292.0,30406.0,103754.0,2.0,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,85440,9095.0,21.0,4.0,7427.0,85322,5.0,7421.0,23.0,81374.0,6.0,24.0,6992.0,81088.0,47223584.0,182622.0,616338688.0,63539.0,119157.0,57540.0,616338688.0,63479.0,11789.0,81360.0,7427.0,9453.0,1567.0,12766752.0,152580.0,622057488.0,62826.0,616338688.0,63479.0,1161.0,8872.0,6944289.0,79958205.0,88.0,961.0,61912.0,75256.0,56981.0,127315.0,134134.0,155467.0,184865.0,319911.0,246576.0,185098.0,326309.0,411221.0,353481.0,416386.0,250740.0,299621.0,399907.0,391590.0,252067.0,2.0,295711.0,261488.0,949911.0,514265.0,4131798.0,8790032.0,70572056.0,384984.0,70775.0,11978.0,26998.0,262084.0,11993.0,14205.0,11164.0,14205.0,30097.0,62562.0,105994.0,1766.0,6751.0,58699.0,158902.0,3718134.0,814194.0,745641.0,432994.0,254949.0,248592.0,200937.0,257422.0,294885.0,296859.0,309382.0,282470.0,355667.0,437956.0,439148.0,388001.0,699798.0,473315.0,342781.0,247356.0,161845.0,189329.0,220584.0,243651.0,192483.0,139048.0,80157.0,32829.0,1031.0,4691.0,854.0,3894.0,161845.0,188443.0,220584.0,243651.0,247356.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,69920,6921.0,10.0,3.0,4444.0,69922,4.0,4440.0,12.0,65971.0,4.0,13.0,4254.0,65731.0,26440544.0,129154.0,503409392.0,62222.0,74908.0,59116.0,503409392.0,62222.0,7292.0,65961.0,4444.0,5388.0,882.0,7125552.0,91114.0,508174192.0,62380.0,503409392.0,62222.0,606.0,7722.0,4217063.0,65026751.0,61.0,908.0,20738.0,40318.0,26538.0,59019.0,115166.0,131816.0,160891.0,322871.0,416708.0,826656.0,1689480.0,2749938.0,2547783.0,1867977.0,1176988.0,617803.0,521541.0,546281.0,432413.0,1.0,685621.0,612159.0,826836.0,296621.0,1225724.0,5615842.0,48615087.0,591900.0,63914.0,20878.0,220909.0,171369.0,10621.0,14164.0,10357.0,14164.0,17310.0,39086.0,67708.0,1098.0,4468.0,70876.0,143163.0,2118713.0,567431.0,353322.0,144278.0,111800.0,108410.0,86940.0,86022.0,99013.0,111984.0,181169.0,173627.0,225269.0,233914.0,269601.0,207475.0,258713.0,440748.0,273787.0,139385.0,310185.0,258666.0,191942.0,143879.0,137588.0,125278.0,165485.0,393638.0,632.0,3489.0,539.0,1924.0,310185.0,258553.0,191942.0,143879.0,139385.0,,217.0,
