createAt,manageObject,M8076C0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,25267136
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,22297147
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,26944989
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,22852784
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,20249140
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,18576019
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,22479558
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,21370234
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,24164074
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,23602458
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,18955817
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,22864225
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,27144127
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,24539938
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,21383564
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,21201451
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,21757234
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,24178298
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,25298487
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,20461747
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,23064532
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,20458620
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,22133735
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,26412198
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,26040950
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,22882845
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,20462827
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,18043551
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,28276836
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,25297642
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,21763816
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,22318134
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,29950728
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,24553860
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,21947733
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,21576956
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,23070550
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,24371095
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,18419797
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,18417849
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,15812709
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,22881515
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,21953300
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,21395563
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,22140975
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,20093708
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,24371256
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,22514224
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,21584939
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,26971780
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,20462209
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,27160177
