createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,436773024.0,22131232,224934.0,224949,4908.0,51023.0,16144,1330.0,3486.0,613.0,188045.0,120801,5079144.0,74952.0,218985.0,209889,680496.0,69497.0,56826438.0,3128887,104.0,152410,42614.0,69883.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,436773024.0,22131232,224934.0,224949,4908.0,51023.0,16144,1330.0,3486.0,613.0,188045.0,120801,5079144.0,74952.0,218985.0,209889,680496.0,69497.0,56826438.0,3128887,104.0,152410,42614.0,69883.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,436773024.0,22131232,224934.0,224949,4908.0,51023.0,16144,1330.0,3486.0,613.0,188045.0,120801,5079144.0,74952.0,218985.0,209889,680496.0,69497.0,56826438.0,3128887,104.0,152410,42614.0,69883.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,436773024.0,22131232,224934.0,224949,4908.0,51023.0,16144,1330.0,3486.0,613.0,188045.0,120801,5079144.0,74952.0,218985.0,209889,680496.0,69497.0,56826438.0,3128887,104.0,152410,42614.0,69883.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,578436784.0,31546872,50188.0,82921,13216.0,73673.0,27236,57.0,11408.0,2502.0,48323.0,39346,20030184.0,186122.0,47708.0,69908,6434232.0,342094.0,76256104.0,5534919,42.0,65756,38215.0,88029.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,578436784.0,31546872,50188.0,82921,13216.0,73673.0,27236,57.0,11408.0,2502.0,48323.0,39346,20030184.0,186122.0,47708.0,69908,6434232.0,342094.0,76256104.0,5534919,42.0,65756,38215.0,88029.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,578436784.0,31546872,50188.0,82921,13216.0,73673.0,27236,57.0,11408.0,2502.0,48323.0,39346,20030184.0,186122.0,47708.0,69908,6434232.0,342094.0,76256104.0,5534919,42.0,65756,38215.0,88029.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,578436784.0,31546872,50188.0,82921,13216.0,73673.0,27236,57.0,11408.0,2502.0,48323.0,39346,20030184.0,186122.0,47708.0,69908,6434232.0,342094.0,76256104.0,5534919,42.0,65756,38215.0,88029.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,1858902256.0,53999992,166005.0,140224,17921.0,204206.0,54406,181.0,11833.0,3466.0,160750.0,87611,27636344.0,281049.0,160959.0,123781,12642216.0,589908.0,240767642.0,9752029,829.0,168180,86560.0,151695.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,1858902256.0,53999992,166005.0,140224,17921.0,204206.0,54406,181.0,11833.0,3466.0,160750.0,87611,27636344.0,281049.0,160959.0,123781,12642216.0,589908.0,240767642.0,9752029,829.0,168180,86560.0,151695.0
