createAt,manageObject,M8006C0,M8006C1,M8006C53,M8006C54,M8006C196,M8006C214,M8006C232,M8006C254,M8006C255,M8006C256,M8006C180,M8006C185,M8006C243,M8006C6,M8006C247,M8006C7,M8006C313,M8006C339,M8006C340,M8006C262,M8006C263,M8006C264,M8006C346,M8006C205,M8006C223,M8006C347,M8006C259,M8006C246
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,54.0,54.0,2959.0,900,54.0,54.0,8.0,56.0,53.0,3.0,2.0,580.0,2.0,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,50.0,50.0,3068.0,900,50.0,50.0,7.0,50.0,44.0,6.0,2.0,772.0,2.0,1.0,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,66.0,66.0,4297.0,900,66.0,66.0,9.0,61.0,55.0,6.0,6.0,1080.0,6.0,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,64.0,64.0,3117.0,900,64.0,64.0,7.0,66.0,60.0,6.0,5.0,799.0,5.0,1.0,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,47.0,47.0,3591.0,900,47.0,47.0,7.0,45.0,42.0,3.0,2.0,1559.0,2.0,2.0,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,31.0,30.0,1203.0,900,31.0,30.0,4.0,31.0,29.0,2.0,2.0,172.0,2.0,1.0,1.0,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,51.0,51.0,2072.0,900,51.0,51.0,6.0,43.0,41.0,2.0,2.0,553.0,2.0,3.0,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,70.0,70.0,2850.0,900,70.0,70.0,5.0,71.0,61.0,10.0,6.0,446.0,6.0,2.0,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,43.0,43.0,2645.0,900,43.0,43.0,6.0,41.0,35.0,6.0,3.0,802.0,3.0,2.0,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,34.0,34.0,1972.0,900,34.0,34.0,6.0,31.0,28.0,3.0,2.0,527.0,2.0,2.0,,,,,,,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,37.0,36.0,2792.0,900,37.0,36.0,5.0,38.0,37.0,1.0,1.0,1099.0,1.0,,1.0,,,,,,,,,,,,,
