createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,104,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,104,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,105,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,112,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,109,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,109,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,108,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,100,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,106,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,112,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,109,,
