createAt,manageObject,M8027C0,M8027C1,M8027C2,M8027C3,M8027C5,M8027C4,M8027C6
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,5.0,5.0,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,2.0,2.0,1.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,6.0,3.0,3.0,2.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,11.0,8.0,3.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,2.0,2.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,10.0,5.0,5.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,6.0,,6.0,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,,,,4.0,1.0,3.0,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,2.0,1.0,1.0,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,1.0,1.0,1.0,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,,,,3.0,3.0,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,5.0,3.0,2.0,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,2.0,1.0,1.0,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,4.0,2.0,2.0,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,2.0,1.0,1.0,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,3.0,2.0,1.0,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,3.0,1.0,2.0,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,4.0,,4.0,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,,,,3.0,,3.0,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,,4.0,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,2.0,1.0,1.0,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,2.0,2.0,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,3.0,1.0,2.0,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,2.0,,2.0,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,,2.0,2.0,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,,1.0,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,2.0,1.0,1.0,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,1.0,1.0,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,1.0,1.0,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,1.0,1.0,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,1.0,1.0,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,2.0,,2.0,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,2.0,1.0,1.0,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,8.0,3.0,5.0,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,3.0,2.0,1.0,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,8.0,4.0,4.0,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,,,,7.0,4.0,3.0,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,2.0,6.0,3.0,3.0,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,9.0,2.0,7.0,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,,2.0,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-690501,,,,1.0,1.0,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,,,,2.0,1.0,1.0,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,2.0,2.0,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,2.0,,2.0,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,4.0,3.0,1.0,
