createAt,manageObject,M8089C6,M8089C7,M8089C8,M8089C3,M8089C4,M8089C5
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,22,22,13.0,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,22,22,13.0,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,22,22,13.0,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,22,22,13.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,16,16,15.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,16,16,15.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,16,16,15.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,16,16,15.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,31,31,28.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,31,31,28.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,31,31,28.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,31,31,28.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,43,43,26.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,43,43,26.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,43,43,26.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,43,43,26.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,18,18,18.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,18,18,18.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,18,18,18.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,18,18,18.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,42,41,34.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,42,41,34.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,42,41,34.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,42,41,34.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,36.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,36.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,36.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,36.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,37,36,34.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,37,36,34.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,37,36,34.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,37,36,34.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21,21,20.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21,21,20.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21,21,20.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21,21,20.0,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,34,34,34.0,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,34,34,34.0,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,34,34,34.0,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,34,34,34.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,30,30,28.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,30,30,28.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,30,30,28.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,30,30,28.0,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,6,6,4.0,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,6,6,4.0,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,6,6,4.0,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,6,6,4.0,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13,13,9.0,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13,13,9.0,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13,13,9.0,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13,13,9.0,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,11,11,11.0,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,11,11,11.0,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,11,11,11.0,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,11,11,11.0,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,6,6,5.0,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,6,6,5.0,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,6,6,5.0,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,6,6,5.0,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38,13,5.0,1025.0,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38,13,5.0,1025.0,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38,13,5.0,1025.0,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38,13,5.0,1025.0,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12,12,6.0,881.0,1.0,1.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12,12,6.0,881.0,1.0,1.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12,12,6.0,881.0,1.0,1.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12,12,6.0,881.0,1.0,1.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,17,17,12.0,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,17,17,12.0,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,17,17,12.0,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,17,17,12.0,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,14,13,6.0,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,14,13,6.0,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,14,13,6.0,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,14,13,6.0,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12,10,6.0,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12,10,6.0,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12,10,6.0,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12,10,6.0,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,21,21,11.0,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,21,21,11.0,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,21,21,11.0,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,21,21,11.0,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,28,28,18.0,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,28,28,18.0,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,28,28,18.0,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,28,28,18.0,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,31,31,24.0,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,31,31,24.0,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,31,31,24.0,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,31,31,24.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,39,39,24.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,39,39,24.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,39,39,24.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,39,39,24.0,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6,6,6.0,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6,6,6.0,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6,6,6.0,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6,6,6.0,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14,14,11.0,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,19,19,10.0,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,19,19,10.0,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,19,19,10.0,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,19,19,10.0,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,15,15,7.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,15,15,7.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,15,15,7.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,15,15,7.0,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,8,8,5.0,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,8,8,5.0,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,8,8,5.0,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,8,8,5.0,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,11,11,5.0,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,11,11,5.0,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,11,11,5.0,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,11,11,5.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,9,9,4.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,9,9,4.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,9,9,4.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,9,9,4.0,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5,5,2.0,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5,5,2.0,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5,5,2.0,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5,5,2.0,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8,8,6.0,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8,8,6.0,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8,8,6.0,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8,8,6.0,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,14,14,7.0,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,14,14,7.0,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,14,14,7.0,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,14,14,7.0,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,7,7,3.0,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,7,7,3.0,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,7,7,3.0,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,7,7,3.0,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,5,5,3.0,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,5,5,3.0,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,5,5,3.0,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,5,5,3.0,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2,2,2.0,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4,4,4.0,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2,2,1.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2,2,1.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2,2,1.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2,2,1.0,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1,1,1.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,16,16,13.0,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,9,9,6.0,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4,4,2.0,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4,4,2.0,,,
