createAt,manageObject,M8014C0,M8014C6,M8014C7,M8014C8,M8014C2,M8014C5,M8014C14,M8014C17,M8014C18,M8014C19,M8014C15
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,21.0,21.0,12.0,4.0,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,15.0,15.0,14.0,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,29.0,29.0,26.0,3.0,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,39.0,39.0,22.0,12.0,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,17.0,17.0,17.0,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,37.0,36.0,29.0,2.0,1.0,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,38.0,38.0,33.0,1.0,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,36.0,35.0,33.0,,1.0,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21.0,21.0,20.0,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,28.0,28.0,28.0,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,25.0,25.0,23.0,,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,10.0,10.0,7.0,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,5.0,5.0,3.0,2.0,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13.0,13.0,9.0,2.0,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,19.0,19.0,11.0,1.0,,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,8.0,8.0,8.0,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,4.0,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38.0,13.0,5.0,4.0,23.0,2.0,1025.0,1025.0,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12.0,12.0,6.0,2.0,,,881.0,880.0,1.0,1.0,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,16.0,16.0,11.0,1.0,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,12.0,11.0,4.0,,1.0,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5.0,5.0,5.0,,,,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12.0,10.0,6.0,,2.0,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,18.0,18.0,8.0,3.0,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,27.0,27.0,17.0,2.0,,,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,12.0,12.0,9.0,1.0,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,28.0,28.0,21.0,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,37.0,37.0,22.0,2.0,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6.0,6.0,6.0,,,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14.0,14.0,11.0,2.0,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,15.0,15.0,12.0,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,18.0,18.0,9.0,3.0,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,1.0,,,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,14.0,14.0,6.0,1.0,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,7.0,7.0,4.0,2.0,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,10.0,10.0,5.0,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,7.0,7.0,4.0,,,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9.0,9.0,6.0,2.0,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5.0,5.0,2.0,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8.0,8.0,6.0,1.0,,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,13.0,13.0,6.0,1.0,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,6.0,6.0,2.0,1.0,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,2.0,,,,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,2.0,,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,3.0,,,,,,,,
