createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,21,1.0,1.0,21,12.0,4.0,113.0,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,15,,,15,14.0,,467.0,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,29,,1.0,29,26.0,3.0,1496.0,2.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,39,2.0,3.0,39,22.0,12.0,938.0,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,17,,,17,17.0,,646.0,1.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,37,2.0,2.0,36,29.0,2.0,1654.0,5.0,1.0,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,38,,2.0,38,33.0,1.0,806.0,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,36,2.0,,35,33.0,,808.0,,1.0,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21,1.0,,21,20.0,,485.0,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,28,,,28,28.0,,222.0,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,25,2.0,,25,23.0,,167.0,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,10,1.0,2.0,10,7.0,,1114.0,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,5,,,5,3.0,2.0,135.0,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13,1.0,,13,9.0,2.0,601.0,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,135.0,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,113.0,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,19,3.0,2.0,19,11.0,1.0,425.0,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,8,,,8,8.0,,118.0,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,4,,,4,4.0,,130.0,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,38,3.0,,13,5.0,4.0,3532.0,,23.0,2.0,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,12,4.0,,12,6.0,2.0,2160.0,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,16,4.0,,16,11.0,1.0,1957.0,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,12,5.0,2.0,11,4.0,,2056.0,,1.0,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5,,,5,5.0,,611.0,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,122.0,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12,4.0,,10,6.0,,2128.0,,2.0,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,18,2.0,3.0,18,8.0,3.0,1220.0,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,27,7.0,1.0,27,17.0,2.0,1311.0,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,12,1.0,1.0,12,9.0,1.0,1406.0,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,28,4.0,3.0,28,21.0,,1813.0,1.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,37,11.0,2.0,37,22.0,2.0,2145.0,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6,,,6,6.0,,124.0,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14,1.0,,14,11.0,2.0,819.0,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,15,1.0,1.0,15,12.0,,1512.0,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,18,5.0,1.0,18,9.0,3.0,2520.0,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,2871.0,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,14,5.0,1.0,14,6.0,1.0,3054.0,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,7,,1.0,7,4.0,2.0,783.0,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,10,4.0,1.0,10,5.0,,2619.0,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,7,1.0,2.0,7,4.0,,747.0,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9,1.0,,9,6.0,2.0,2019.0,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5,3.0,,5,2.0,,2617.0,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8,1.0,,8,6.0,1.0,1664.0,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,13,5.0,1.0,13,6.0,1.0,2044.0,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,6,2.0,1.0,6,2.0,1.0,195.0,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,4,1.0,1.0,4,2.0,,2874.0,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2,,,2,2.0,,138.0,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,3,,,3,3.0,,119.0,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4,,,4,4.0,,110.0,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4,,,4,4.0,,114.0,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,3044.0,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2,,,2,1.0,1.0,2925.0,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1,,,1,1.0,,125.0,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,15,1.0,1.0,15,12.0,,911.0,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,7,,2.0,7,4.0,,1688.0,,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4,,,4,2.0,2.0,1286.0,,,,
