createAt,manageObject,M8009C1,M8009C0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,21.0,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,15.0,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,29.0,1.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,39.0,3.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,17.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,37.0,5.0
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,38.0,5.0
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,36.0,5.0
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,21.0,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,28.0,2.0
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,25.0,2.0
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,10.0,4.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,5.0,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,13.0,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,19.0,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,8.0,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,4.0,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,936.0,67.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,756.0,14.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,16.0,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,12.0,2.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,5.0,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,12.0,7.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,18.0,1.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,27.0,1.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,12.0,2.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,28.0,5.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,37.0,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,6.0,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,14.0,1.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,15.0,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,18.0,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,14.0,1.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,10.0,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,7.0,2.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,9.0,1.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,5.0,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,8.0,2.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,13.0,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,6.0,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,4.0,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,3.0,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,4.0,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,4.0,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,2.0,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,15.0,1.0
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,7.0,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,4.0,1.0
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,1.0,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,34.0,6.0
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,40.0,2.0
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,67.0,7.0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,28.0,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,25.0,2.0
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,37.0,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690501,37.0,5.0
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690501,45.0,9.0
