createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,8.0,74.0,383.0,100,32.0,159.0,18.0,19.0,48.0,17.0,3.0,2.0,8.0,2.0,1.0,1.0,11.0,17.0,36.0,15.0,3.0,2.0,6.0,2.0,90000,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,21.0,43.0,798.0,100,27.0,171.0,556.0,1374.0,1460.0,1592.0,118.0,139.0,143.0,168.0,5.0,,409.0,1198.0,1270.0,1400.0,78.0,113.0,106.0,132.0,90000,2.0,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,23.0,68.0,1074.0,100,34.0,189.0,1255.0,1539.0,1799.0,1628.0,132.0,137.0,155.0,177.0,1.0,4.0,1097.0,1372.0,1620.0,1432.0,120.0,129.0,145.0,170.0,90000,3.0,1.0,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,11.0,65.0,598.0,100,27.0,170.0,210.0,233.0,172.0,132.0,30.0,27.0,15.0,8.0,1.0,,174.0,199.0,150.0,124.0,29.0,27.0,15.0,8.0,90000,1.0,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,16.0,48.0,621.0,100,15.0,112.0,5018.0,3664.0,2376.0,1617.0,562.0,420.0,347.0,256.0,10.0,1.0,4413.0,3206.0,1994.0,1340.0,543.0,401.0,333.0,235.0,90000,6.0,7.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,14.0,26.0,383.0,100,19.0,95.0,137.0,207.0,211.0,155.0,20.0,30.0,35.0,29.0,,,114.0,157.0,154.0,122.0,16.0,17.0,29.0,22.0,90000,1.0,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,15.0,53.0,303.0,100,13.0,113.0,109.0,159.0,183.0,192.0,6.0,10.0,22.0,14.0,,,97.0,124.0,138.0,146.0,6.0,10.0,18.0,10.0,90000,1.0,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,13.0,71.0,723.0,100,27.0,203.0,97.0,101.0,78.0,98.0,10.0,18.0,7.0,17.0,4.0,1.0,67.0,72.0,64.0,81.0,9.0,12.0,6.0,16.0,90000,4.0,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,19.0,53.0,726.0,100,8.0,119.0,597.0,859.0,992.0,1063.0,79.0,48.0,67.0,62.0,1.0,9.0,513.0,792.0,895.0,984.0,78.0,46.0,66.0,62.0,90000,6.0,5.0,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,18.0,30.0,627.0,100,8.0,83.0,741.0,793.0,700.0,547.0,127.0,78.0,42.0,32.0,2.0,2.0,606.0,676.0,650.0,503.0,126.0,75.0,42.0,31.0,90000,9.0,3.0,
