createAt,manageObject,M8033C4,M8033C7,M8033C0,M8033C8
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,16.0,16.0,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,3.0,2.0,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,12.0,10.0,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,4.0,2.0,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T08:45:00.000-04:00:00,NE-MRBTS-660701,3.0,3.0,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,3.0,1.0,,
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1.0,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-07T13:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-660701,10.0,10.0,,
2025-05-07T14:45:00.000-04:00:00,NE-MRBTS-660701,3.0,2.0,,
2025-05-07T15:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-660701,5.0,3.0,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-660701,7.0,7.0,,
2025-05-07T16:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,1.0,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,,
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,2.0,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,1.0,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,,
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,3.0,3.0,1.0,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,30.0,12.0,,11.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,10.0,6.0,,1.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,8.0,3.0,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,20.0,9.0,,3.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,24.0,14.0,,1.0
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,28.0,11.0,,1.0
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,14.0,3.0,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,16.0,11.0,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,6.0,3.0,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,12.0,7.0,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,8.0,4.0,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,7.0,6.0,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,5.0,1.0,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,1.0,2.0,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,3.0,1.0,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,12.0,1.0,,1.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,6.0,1.0,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,4.0,2.0,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,3.0,2.0,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,7.0,3.0,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,6.0,2.0,,2.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,,,,1.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,8.0,3.0,,3.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,11.0,6.0,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,4.0,2.0,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,1.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,1.0,,,2.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,3.0,2.0,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,3.0,1.0,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-690501,2.0,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690501,7.0,5.0,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-690501,2.0,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-690501,1.0,,,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-690501,5.0,1.0,,2.0
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690501,8.0,5.0,,1.0
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690501,14.0,9.0,,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-690501,18.0,12.0,,2.0
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-690501,34.0,16.0,,1.0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690501,5.0,1.0,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690501,24.0,13.0,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690501,15.0,7.0,,1.0
