createAt,manageObject,M8015C8,M8015C9,M8015C10,M8015C17,M8015C18,M8015C20,M8015C16,M8015C6,M8015C5
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,19.0,11.0,3.0,1.0,4.0,1.0,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,2.0,1.0,1.0,,,,1.0,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,12.0,11.0,,,,2.0,2.0,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,,,,1.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,9.0,9.0,1.0,,,2.0,4.0,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,19.0,16.0,2.0,,,1.0,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,1.0,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,14.0,10.0,2.0,,1.0,,3.0,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,24.0,12.0,10.0,2.0,,,1.0,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,14.0,14.0,,,,2.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,3.0,3.0,,,,,1.0,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,10.0,7.0,,1.0,,1.0,2.0,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,26.0,22.0,2.0,1.0,,1.0,2.0,1.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,25.0,22.0,1.0,,,1.0,2.0,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,12.0,10.0,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,,,1.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,17.0,16.0,,1.0,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,18.0,17.0,,1.0,,1.0,,1.0,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,17.0,17.0,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,4.0,3.0,,1.0,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,27.0,27.0,,,,4.0,1.0,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,23.0,21.0,,2.0,,2.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,2.0,2.0,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,3.0,2.0,,,,,1.0,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,6.0,4.0,,1.0,,1.0,1.0,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,1.0,1.0,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,3.0,1.0,2.0,,,,,,
