createAt,manageObject,M8010C36,M8010C37,M8010C38,M8010C39,M8010C40,M8010C41,M8010C42,M8010C43,M8010C44,M8010C45,M8010C46,M8010C47,M8010C48,M8010C49,M8010C50,M8010C51,M8010C52,M8010C53,M8010C54,M8010C61,M8010C62,M8010C67,M8010C57,M8010C58,M8010C60,M8010C76,M8010C77,M8010C78,M8010C79,M8010C80,M8010C81,M8010C82,M8010C83,M8010C84,M8010C85,M8010C86,M8010C87,M8010C88,M8010C89,M8010C90,M8010C91,M8010C112,M8010C113
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,4.0,13.0,613.0,2719.0,6803.0,9383.0,6508.0,3312.0,4527.0,4892.0,1051.0,1184.0,2612.0,2559.0,2676.0,8109.0,-2747.0,3454.0,527.0,203125.0,28918.0,1941,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,28.0,2.0,175.0,74.0,285.0,273.0,201.0,321.0,790.0,659.0,1042.0,2029.0,3616.0,4381.0,4708.0,45739.0,-2786.0,5000.0,2420.0,75951.0,5365.0,1533,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,39.0,3.0,129.0,65.0,404.0,1708.0,4598.0,3984.0,2392.0,732.0,748.0,2533.0,3183.0,2846.0,6246.0,66028.0,-2650.0,5000.0,3513.0,199197.0,11988.0,1526,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,1.0,10.0,271.0,116.0,1702.0,7687.0,21133.0,20407.0,8456.0,10362.0,1356.0,1357.0,2527.0,2130.0,1991.0,12552.0,-7817.0,5000.0,419.0,212568.0,15616.0,1700,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,15.0,33.0,351.0,46.0,318.0,2291.0,19746.0,18247.0,29246.0,19119.0,6463.0,19447.0,13965.0,16841.0,8578.0,29062.0,-2869.0,5000.0,862.0,515573.0,18530.0,1545,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,8.0,1.0,205.0,12.0,41.0,261.0,729.0,1351.0,611.0,238.0,366.0,492.0,544.0,675.0,835.0,9071.0,-2340.0,5000.0,1498.0,10382.0,1836.0,1832,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,17.0,10.0,130.0,122.0,464.0,1105.0,2021.0,4654.0,7238.0,6123.0,3944.0,3938.0,3997.0,2840.0,1546.0,5162.0,-2939.0,3650.0,252.0,88588.0,25026.0,1751,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,82.0,2.0,287.0,9.0,225.0,880.0,1560.0,1769.0,3906.0,2588.0,1951.0,1794.0,4687.0,4234.0,4264.0,10099.0,-2738.0,5000.0,945.0,32196.0,7763.0,1726,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,6.0,20.0,329.0,279.0,870.0,2243.0,3690.0,6441.0,8757.0,6861.0,3937.0,3027.0,2381.0,3070.0,5249.0,19138.0,-2361.0,5000.0,2144.0,88117.0,14011.0,1676,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,6.0,5.0,209.0,35.0,154.0,815.0,3451.0,6970.0,4722.0,2360.0,3400.0,2834.0,2115.0,1461.0,967.0,15250.0,-2833.0,5000.0,1862.0,78660.0,8995.0,1682,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,35.0,,65.0,109.0,416.0,568.0,1331.0,2106.0,3674.0,9109.0,33353.0,82784.0,19536.0,10467.0,4721.0,6090.0,-2908.0,5000.0,517.0,318829.0,17997.0,1458,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,3.0,3.0,254.0,6.0,6.0,47.0,414.0,4569.0,9836.0,18573.0,7895.0,7397.0,4890.0,3185.0,2724.0,28864.0,-3927.0,5000.0,-306.0,375035.0,66646.0,1846,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,5.0,2.0,511.0,12.0,40.0,319.0,2003.0,3090.0,2184.0,2015.0,2209.0,3635.0,3330.0,1942.0,4027.0,33335.0,-2988.0,5000.0,1776.0,49123.0,6998.0,1646,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,4.0,10.0,520.0,34.0,64.0,102.0,152.0,22.0,77.0,343.0,1214.0,1682.0,2585.0,1870.0,3183.0,33846.0,-3299.0,5000.0,2201.0,32286.0,1883.0,1621,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,,1.0,347.0,,,,1.0,3.0,8.0,84.0,579.0,1607.0,4655.0,2302.0,4582.0,82034.0,-2215.0,5000.0,2346.0,61025.0,9664.0,1356,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,1.0,7.0,711.0,,,,2.0,5362.0,2706.0,5880.0,2379.0,2995.0,5182.0,4582.0,4211.0,31162.0,-1888.0,5000.0,2246.0,140028.0,7383.0,1394,,,,,,,,,,,,,,,,,,,,,
