createAt,manageObject,M8026C4,M8026C23,M8026C29,M8026C254,M8026C284,M8026C287,M8026C38,M8026C273,M8026C274,M8026C275,M8026C276,M8026C277,M8026C278,M8026C288,M8026C289,M8026C285,M8026C286,M8026C291,M8026C292,M8026C293,M8026C294,M8026C300
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,104.0,51023.0,16144.0,104.0,6074.0,6074.0,16.0,1495,153275.0,62.0,20942.0,176.0,6947.0,71.0,2272.0,22246,6913,38378.0,907.0,258.0,5454.0,122932
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,42.0,73673.0,27236.0,42.0,10041.0,10041.0,10.0,850,67262.0,6.0,2623.0,161.0,1715.0,97.0,294.0,44283,14607,14220.0,690.0,285.0,4176.0,59529
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,829.0,204206.0,54406.0,829.0,17987.0,17987.0,9.0,1031,182869.0,8.0,3903.0,197.0,4656.0,47.0,594.0,63384,20920,32016.0,894.0,900.0,5664.0,112804
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,4455.0,77075.0,27799.0,4455.0,6227.0,6227.0,14.0,968,172929.0,14.0,23658.0,134.0,5195.0,65.0,984.0,20409,6724,100792.0,2231.0,582.0,10941.0,260410
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,11232.0,346828.0,179831.0,11232.0,19727.0,19727.0,11.0,707,442426.0,10.0,54302.0,143.0,9845.0,15.0,420.0,50511,16631,163513.0,2567.0,601.0,8676.0,482947
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,28.0,6176.0,6199.0,28.0,1626.0,1626.0,10.0,496,7916.0,8.0,231.0,61.0,451.0,33.0,129.0,7674,2493,8498.0,267.0,58.0,1305.0,18210
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,113.0,37863.0,18081.0,113.0,4215.0,4215.0,15.0,782,58337.0,22.0,6388.0,214.0,6553.0,103.0,2180.0,15381,5093,64093.0,2749.0,360.0,13117.0,125500
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,134.0,15436.0,12612.0,134.0,3541.0,3541.0,11.0,1315,22670.0,20.0,1581.0,431.0,1738.0,223.0,568.0,17454,5490,22861.0,746.0,495.0,5339.0,60923
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,790.0,77700.0,23754.0,790.0,7312.0,7312.0,10.0,1017,72081.0,20.0,2560.0,428.0,2908.0,204.0,1256.0,30950,9906,58919.0,2155.0,745.0,14209.0,135630
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,71.0,58759.0,18031.0,71.0,5803.0,5803.0,10.0,633,66091.0,13.0,3985.0,254.0,1963.0,134.0,771.0,22926,7559,32331.0,1140.0,602.0,7649.0,76936
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,162.0,345292.0,207004.0,162.0,17476.0,17476.0,11.0,811,268801.0,27.0,32240.0,215.0,5275.0,142.0,1334.0,37706,12298,61771.0,1138.0,203.0,4895.0,337371
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,22.0,153864.0,57418.0,22.0,17353.0,17353.0,15.0,726,276183.0,7.0,36318.0,59.0,11055.0,38.0,6533.0,58432,19425,23501.0,355.0,87.0,4858.0,109118
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,,32788.0,24338.0,,7537.0,7537.0,10.0,660,39835.0,6.0,2053.0,60.0,1686.0,24.0,631.0,29490,9813,28253.0,313.0,128.0,1747.0,68884
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,,25526.0,19093.0,,5363.0,5363.0,10.0,641,28320.0,9.0,1299.0,43.0,516.0,6.0,108.0,21938,7306,6301.0,208.0,108.0,1451.0,32623
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,,53175.0,58405.0,,3462.0,3462.0,9.0,580,51057.0,7.0,321.0,34.0,2068.0,17.0,788.0,13408,4469,31648.0,37.0,81.0,6328.0,195880
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,,115662.0,53954.0,,13705.0,13705.0,11.0,601,121170.0,8.0,10957.0,43.0,1692.0,28.0,335.0,47752,15906,6015.0,14.0,74.0,438.0,58821
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,,73006.0,39947.0,,5347.0,5347.0,9.0,399,63599.0,2.0,1046.0,62.0,77.0,47.0,46.0,15060,5019,4336.0,37.0,54.0,94.0,34908
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,,30357.0,16476.0,,2805.0,2805.0,9.0,423,26289.0,2.0,300.0,34.0,78.0,21.0,31.0,10386,3462,1705.0,,50.0,45.0,17830
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,,19935.0,24985.0,,2012.0,2012.0,10.0,481,20045.0,6.0,446.0,27.0,955.0,9.0,7.0,7920,2623,8358.0,23.0,41.0,519.0,56386
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,,29729.0,15790.0,,4565.0,4565.0,9.0,455,26967.0,2.0,607.0,44.0,110.0,10.0,30.0,17138,5701,3422.0,15.0,49.0,124.0,27749
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,,59907.0,30343.0,,8585.0,8585.0,11.0,425,59094.0,2.0,4327.0,65.0,775.0,50.0,174.0,30805,10268,4259.0,16.0,50.0,307.0,38905
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,,84536.0,30846.0,,8617.0,8617.0,11.0,384,78152.0,3.0,4943.0,48.0,2106.0,26.0,1339.0,31468,10488,6359.0,21.0,63.0,1452.0,46617
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,,108355.0,41965.0,,13108.0,13108.0,13.0,284,107206.0,1.0,11813.0,23.0,4175.0,9.0,2298.0,47099,15699,6965.0,15.0,51.0,1286.0,51110
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,,193694.0,58018.0,,18495.0,18495.0,11.0,253,192901.0,2.0,13833.0,8.0,1779.0,,121.0,63247,21070,9743.0,15.0,36.0,541.0,84731
