createAt,manageObject,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C26,M8038C27,M8038C44,M8038C45,M8038C53,M8038C6,M8038C7,M8038C50,M8038C79,M8038C80,M8038C8,M8038C9,M8038C49,M8038C56,M8038C76,M8038C77
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,2916.0,900,56824177.0,9000.0,3127226.0,4246.0,22131232.0,224949.0,436773024.0,224934.0,1.0,288218.0,900000,4151309.0,92.0,184.0,293036.0,900000,785845.0,101.0,95.0,45.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,3022.0,900,76256104.0,7506.0,5534919.0,726.0,31546872.0,82921.0,578436784.0,50188.0,56.0,138340.0,900000,1161696.0,92.0,52.0,159802.0,900000,511393.0,104.0,95.0,29.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,4187.0,900,240767642.0,9840.0,9752029.0,1052.0,53999992.0,140224.0,1858902256.0,166005.0,,294868.0,900000,3460374.0,92.0,154.0,295936.0,900000,834165.0,113.0,100.0,48.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,3077.0,900,82742634.0,9254.0,6628432.0,2552.0,48289016.0,377639.0,638316808.0,193941.0,,284411.0,900000,4088231.0,92.0,182.0,534748.0,900000,1680539.0,110.0,95.0,97.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,3538.0,900,274956515.0,6882.0,20558850.0,615.0,150921200.0,816109.0,2091946840.0,454325.0,1.0,576195.0,900000,8101045.0,92.0,359.0,985779.0,900000,2960573.0,139.0,100.0,170.0
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,1196.0,900,4561026.0,4895.0,797190.0,625.0,4723552.0,27463.0,29848288.0,4888.0,,37388.0,900000,104473.0,92.0,5.0,45005.0,900000,140888.0,101.0,95.0,8.0
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,2008.0,900,38144004.0,7152.0,2809449.0,711.0,19310544.0,210192.0,281469048.0,71460.0,64.0,137793.0,900000,1538468.0,92.0,68.0,325735.0,900000,1017058.0,104.0,100.0,59.0
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,2729.0,900,12162672.0,10569.0,1894508.0,2255.0,12826176.0,78526.0,77912784.0,15299.0,39.0,158844.0,900000,351485.0,92.0,16.0,189008.0,900000,498497.0,105.0,95.0,29.0
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,2480.0,900,79958205.0,6967.0,6944289.0,777.0,47223584.0,182622.0,616338688.0,63539.0,,163386.0,900000,1352306.0,92.0,60.0,386914.0,900000,1125322.0,113.0,100.0,65.0
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,1881.0,900,65026751.0,4808.0,4217063.0,485.0,26440544.0,129154.0,503409392.0,62222.0,4.0,134882.0,900000,1329188.0,92.0,59.0,235892.0,900000,667220.0,121.0,100.0,38.0
