createAt,manageObject,M8008C4,M8008C5,M8008C8,M8008C9,M8008C17,M8008C18,M8008C1,M8008C3,M8008C0,M8008C47,M8008C48,M8008C6,M8008C7,M8008C10,M8008C11
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,2.0,2.0,51,715,36.0,36.0,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7.0,4.0,7.0,4.0,95,1593,38.0,38.0,1.0,50.0,92.0,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,10.0,10.0,10.0,10.0,67,1367,39.0,39.0,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,4.0,1.0,4.0,1.0,43,819,42.0,42.0,2.0,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,8.0,8.0,8.0,8.0,37,191,30.0,30.0,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,5.0,5.0,5.0,5.0,63,489,38.0,38.0,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,9.0,9.0,9.0,9.0,69,935,35.0,35.0,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,6.0,2.0,6.0,2.0,88,1606,37.0,37.0,4.0,1606.0,1606.0,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,10.0,10.0,10.0,10.0,76,582,27.0,27.0,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,,,,,60,547,26.0,26.0,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,9.0,6.0,9.0,6.0,140,2002,34.0,34.0,2.0,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,1.0,1.0,30,61,29.0,29.0,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,,,,,63,1176,18.0,18.0,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,,,,,36,254,19.0,19.0,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,,,,,35,184,16.0,16.0,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,1.0,,1.0,,45,866,17.0,17.0,1.0,,,,,,
