createAt,manageObject,M8000C29,M8000C30,M8000C11,M8000C6,M8000C7,M8000C38,M8000C37,M8000C9
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,3.0,21,36.0,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,1.0,26,38.0,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,1.0,12,39.0,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,4.0,22,42.0,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,1.0,11,30.0,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,4.0,20,38.0,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,1.0,14,35.0,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,2.0,28,37.0,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,1.0,17,27.0,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,1.0,17,26.0,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,2.0,27,34.0,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,3.0,10,29.0,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,11.0,27,18.0,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,1.0,19,19.0,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,1.0,18,16.0,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,7.0,31,17.0,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,1.0,18,12.0,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,1.0,19,13.0,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,3.0,19,20.0,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4.0,15,16.0,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,1.0,18,9.0,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,3.0,22,7.0,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4.0,22,4.0,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,,16,10.0,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,1.0,20,5.0,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,1.0,20,4.0,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,2.0,22,2.0,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,1.0,22,5.0,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,3.0,21,2.0,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,1.0,22,4.0,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,2.0,17,10.0,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2.0,18,6.0,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,3.0,22,3.0,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,1.0,25,5.0,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2.0,20,3.0,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,1.0,21,4.0,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2.0,27,1.0,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,2.0,23,3.0,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1.0,21,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,1.0,24,4.0,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,1.0,22,4.0,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,2.0,23,1.0,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,,22,3.0,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1.0,22,4.0,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,,16,3.0,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,4.0,29,1.0,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,,21,1.0,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1.0,20,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1.0,25,3.0,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,3.0,26,2.0,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,1.0,17,4.0,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,1.0,23,3.0,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,1.0,23,5.0,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2.0,21,2.0,,,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1.0,24,1.0,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1.0,21,5.0,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,3.0,22,2.0,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,1.0,24,2.0,,,,,
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,1.0,19,4.0,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1.0,24,4.0,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,5.0,29,3.0,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,1.0,17,8.0,,,,,
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,1.0,16,7.0,,,,,
