createAt,manageObject,M8035C0,M8035C1,M8035C2,M8035C5,M8035C6
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,264.0,202.0,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,252.0,203.0,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,275.0,209.0,3.0,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,302.0,232.0,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,209.0,165.0,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,163.0,160.0,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,218.0,189.0,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,341.0,255.0,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,201.0,159.0,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,165.0,137.0,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,207.0,177.0,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,247.0,174.0,1.0,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,217.0,159.0,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,177.0,131.0,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,189.0,140.0,1.0,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,226.0,172.0,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,133.0,101.0,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,169.0,127.0,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,186.0,146.0,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,153.0,119.0,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,145.0,105.0,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,147.0,108.0,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,116.0,93.0,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,110.0,93.0,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,77.0,68.0,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,71.0,61.0,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,77.0,65.0,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,83.0,72.0,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,75.0,60.0,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,125.0,89.0,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,125.0,93.0,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,94.0,75.0,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,109.0,82.0,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,101.0,82.0,1.0,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,105.0,77.0,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,85.0,74.0,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,76.0,68.0,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,75.0,63.0,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,51.0,47.0,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,77.0,67.0,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,67.0,59.0,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,71.0,58.0,,,
