createAt,manageObject,M8049C0,M8049C1,M8049C2,M8049C3
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,7,6489.0,358.0,6620.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,7,8030.0,1449.0,8153.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,8,8667.0,1236.0,8783.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,7,6266.0,1295.0,6522.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,7,7171.0,978.0,7729.0
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,4,5775.0,280.0,6055.0
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,6,6484.0,327.0,6586.0
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,5,6962.0,1051.0,7237.0
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,5,8872.0,1161.0,9055.0
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,5,7722.0,606.0,7991.0
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,5,6761.0,1997.0,7088.0
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,7,7083.0,857.0,7318.0
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,6,7995.0,535.0,8143.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,5,6113.0,1345.0,6220.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,5,6901.0,6183.0,7009.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,5,7551.0,993.0,7858.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,4,8494.0,372.0,8806.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,4,6597.0,312.0,6681.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,3,4166.0,4788.0,4893.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,4,6599.0,823.0,6659.0
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,4,6985.0,1501.0,7307.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,4,8116.0,540.0,8369.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,4,7251.0,887.0,7535.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,5,9003.0,545.0,9162.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,4,8971.0,894.0,9266.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,4,8297.0,658.0,8444.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,3,8634.0,624.0,9081.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,4,7831.0,503.0,8178.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,4,8833.0,657.0,9062.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,4,6571.0,687.0,6998.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3,4681.0,851.0,4849.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,2,2609.0,473.0,2826.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,2,287.0,200.0,439.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,2,4297.0,373.0,4518.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,2,119.0,128.0,247.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,2,89.0,46.0,135.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,2,1.0,4.0,4.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,1,3.0,70.0,74.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,1,37.0,96.0,133.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,2,166.0,119.0,222.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,2,5.0,2.0,7.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,1,318.0,131.0,449.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,1,51.0,67.0,70.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,1,8088.0,356.0,8445.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,1,2391.0,253.0,2645.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,3,107.0,88.0,150.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,1,4.0,2.0,5.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,1,107.0,55.0,162.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,1,272.0,242.0,514.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,1,248.0,351.0,434.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,2,57.0,32.0,76.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,2,3.0,2.0,5.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,2,136.0,31.0,168.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,2,155.0,91.0,247.0
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,1,4.0,5.0,10.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,1,129.0,57.0,155.0
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,1,119.0,112.0,232.0
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,2,88.0,93.0,107.0
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,2,451.0,185.0,473.0
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,1,7.0,2.0,8.0
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,3,605.0,131.0,679.0
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,2,430.0,170.0,598.0
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,5,8294.0,759.0,8338.0
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,8,7904.0,689.0,8264.0
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-660701,6,7615.0,1697.0,7827.0
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-660701,8,7029.0,631.0,7319.0
2025-05-07T06:45:00.000-04:00:00,NE-MRBTS-660701,8,6402.0,530.0,6559.0
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-660701,7,6038.0,5287.0,6152.0
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-660701,8,7986.0,937.0,8240.0
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-660701,7,8124.0,1746.0,8245.0
2025-05-07T07:45:00.000-04:00:00,NE-MRBTS-660701,7,7550.0,1233.0,7726.0
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-660701,7,7244.0,1382.0,7662.0
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-660701,7,7985.0,684.0,8112.0
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-660701,8,12859.0,1090.0,13212.0
2025-05-07T08:45:00.000-04:00:00,NE-MRBTS-660701,8,12633.0,2480.0,12924.0
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-660701,9,7451.0,648.0,7753.0
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-660701,7,7628.0,562.0,7786.0
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,7,8723.0,444.0,8931.0
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,6,7105.0,597.0,7285.0
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,7,7883.0,1088.0,7998.0
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,8,7131.0,665.0,7211.0
