createAt,manageObject,M8004C6,M8004C4,M8004C5,M8004C0,M8004C1,M8004C2,M8004C3
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,52330.0,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,73695.0,9.0,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,204249.0,37.0,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,77977.0,82.0,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,349542.0,81.0,70.0,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,6171.0,1.0,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,38396.0,104.0,1.0,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,15496.0,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,77755.0,133.0,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,58781.0,72.0,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,345365.0,41.0,24.0,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,163450.0,145.0,32.0,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,32786.0,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,25625.0,7.0,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,53179.0,5.0,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,115665.0,120.0,115.0,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,73008.0,5.0,1.0,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,30357.0,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,19946.0,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,29729.0,175.0,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,59908.0,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,84555.0,7.0,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,108367.0,52.0,17.0,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,193694.0,64.0,9.0,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,251021.0,94.0,38.0,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,193616.0,30.0,3.0,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,178189.0,29.0,14.0,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,174624.0,14.0,13.0,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,165533.0,14.0,10.0,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,55593.0,139.0,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,3734.0,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,1976.0,3.0,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,659.0,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,1270.0,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,476.0,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,59.0,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,5.0,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,26.0,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,86.0,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,324.0,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,143.0,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,59.0,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,34.0,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,24151.0,50.0,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,826.0,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,89.0,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,8.0,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,45.0,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,373.0,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,787.0,,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,230.0,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,20.0,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,85.0,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,104.0,,,,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,13.0,,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,83.0,,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,43.0,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,95.0,,,,,,
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,728.0,,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,20.0,,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,827.0,,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,751.0,,,,,,
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,95338.0,7.0,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,172833.0,550.0,520.0,,,,
