createAt,manageObject,M8051C11,M8051C16,M8051C17,M8051C23,M8051C24,M8051C34,M8051C44,M8051C52,M8051C54,M8051C55,M8051C56,M8051C57,M8051C58,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C68,M8051C71,M8051C73,M8051C74,M8051C75,M8051C79,M8051C80,M8051C81,M8051C83,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C121,M8051C122,M8051C148,M8051C149,M8051C152,M8051C155,M8051C161,M8051C162,M8051C171,M8051C179,M8051C132,M8051C133,M8051C165,M8051C101,M8051C102,M8051C105,M8051C106,M8051C107,M8051C108,M8051C115,M8051C95,M8051C98,M8051C99,M8051C100,M8051C103,M8051C104,M8051C109,M8051C110,M8051C125,M8051C126,M8051C66,M8051C72,M8051C51,M8051C136,M8051C82,M8051C67,M8051C15,M8051C85,M8051C6,M8051C14,M8051C31,M8051C37,M8051C41,M8051C47,M8051C70,M8051C159,M8051C160,M8051C8,M8051C50,M8051C153,M8051C1,M8051C46,M8051C36,M8051C40,M8051C91,M8051C0,M8051C9,M8051C180,M8051C4
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,71.0,4.0,2.0,2.0,4.0,4.0,54.0,3.0,7.0,3.0,7.0,2916.0,900,2910.0,900,3.0,3.0,2.0,54.0,1.0,1.0,1.0,7.0,7.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,124.0,71.0,2.0,43.0,7.0,1.0,4.0,1.0,2.0,1.0,327.0,7.0,7.0,288218.0,900000,203213.0,900000,103.0,3.0,103.0,900,101.0,293036.0,900000,187403.0,900000,101.0,3.0,121.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,2.0,1.0,28.0,4.0,1.0,2.0,4.0,4.0,63.0,3.0,7.0,3.0,7.0,3022.0,900,3020.0,900,3.0,3.0,2.0,63.0,1.0,1.0,1.0,7.0,5.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,91.0,28.0,2.0,37.0,7.0,1.0,4.0,1.0,1.0,1.0,343.0,7.0,7.0,138340.0,900000,75881.0,900000,104.0,3.0,104.0,900,104.0,159802.0,900000,93369.0,900000,104.0,3.0,143.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,56.0,5.0,2.0,2.0,3.0,4.0,127.0,5.0,8.0,5.0,8.0,4187.0,900,4184.0,900,5.0,4.0,2.0,127.0,2.0,1.0,2.0,8.0,7.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,232.0,56.0,2.0,101.0,8.0,2.0,5.0,2.0,2.0,2.0,473.0,8.0,8.0,294868.0,900000,199181.0,900000,117.0,5.0,117.0,900,113.0,295936.0,900000,179843.0,900000,113.0,4.0,172.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,1.0,2.0,108.0,6.0,3.0,1.0,4.0,5.0,77.0,3.0,7.0,3.0,7.0,3077.0,900,3075.0,900,3.0,3.0,1.0,77.0,2.0,1.0,2.0,7.0,6.0,2.0,2.0,3.0,1.0,6.0,3.0,6.0,207.0,108.0,2.0,53.0,7.0,2.0,6.0,2.0,3.0,1.0,346.0,7.0,7.0,284411.0,900000,213177.0,900000,106.0,3.0,106.0,900,110.0,534748.0,900000,442501.0,900000,110.0,3.0,133.0,4.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,2.0,2.0,149.0,5.0,3.0,2.0,3.0,5.0,66.0,4.0,7.0,4.0,7.0,3538.0,900,3535.0,900,4.0,3.0,1.0,66.0,2.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,222.0,149.0,2.0,51.0,7.0,2.0,5.0,2.0,3.0,1.0,396.0,7.0,7.0,576195.0,900000,517201.0,900000,130.0,5.0,130.0,900,139.0,985779.0,900000,736297.0,900000,139.0,6.0,200.0,6.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,72.0,3.0,2.0,,2.0,3.0,12.0,1.0,4.0,1.0,4.0,1196.0,900,1187.0,900,1.0,1.0,,12.0,1.0,,1.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,85.0,72.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,134.0,4.0,4.0,37388.0,900000,10330.0,900000,101.0,2.0,101.0,900,101.0,45005.0,900000,36049.0,900000,101.0,2.0,107.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,72.0,3.0,2.0,1.0,3.0,3.0,18.0,2.0,6.0,2.0,6.0,2008.0,900,2004.0,900,2.0,2.0,1.0,18.0,1.0,,1.0,6.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,90.0,72.0,,,6.0,1.0,3.0,1.0,2.0,,228.0,6.0,6.0,137793.0,900000,88578.0,900000,103.0,3.0,103.0,900,104.0,325735.0,900000,269322.0,900000,104.0,3.0,122.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,96.0,3.0,2.0,2.0,3.0,3.0,38.0,3.0,6.0,3.0,5.0,2729.0,900,2722.0,900,3.0,3.0,1.0,38.0,1.0,,1.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,133.0,96.0,,,5.0,1.0,3.0,1.0,2.0,1.0,313.0,5.0,5.0,158844.0,900000,32064.0,900000,106.0,3.0,106.0,900,105.0,189008.0,900000,111188.0,900000,105.0,3.0,130.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,1.0,1.0,83.0,3.0,2.0,1.0,3.0,2.0,55.0,3.0,5.0,3.0,5.0,2480.0,900,2475.0,900,3.0,3.0,1.0,55.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,138.0,83.0,,,5.0,1.0,2.0,1.0,2.0,1.0,286.0,5.0,5.0,163386.0,900000,88132.0,900000,110.0,4.0,110.0,900,113.0,386914.0,900000,266148.0,900000,113.0,4.0,155.0,5.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,,1.0,54.0,3.0,2.0,1.0,3.0,2.0,60.0,2.0,4.0,2.0,4.0,1881.0,900,1876.0,900,2.0,2.0,,60.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,114.0,54.0,,,4.0,1.0,2.0,1.0,2.0,1.0,215.0,5.0,5.0,134882.0,900000,78815.0,900000,111.0,3.0,111.0,900,121.0,235892.0,900000,150989.0,900000,121.0,4.0,125.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
