createAt,manageObject,M8013C5,M8013C9,M8013C13,M8013C15,M8013C17,M8013C18,M8013C19,M8013C35,M8013C36,M8013C37,M8013C43,M8013C44,M8013C45,M8013C47,M8013C54,M8013C55,M8013C56,M8013C62,M8013C70,M8013C71,M8013C83,M8013C84,M8013C85,M8013C109,M8013C111,M8013C113,M8013C114,M8013C24,M8013C25,M8013C6,M8013C31,M8013C32,M8013C87,M8013C10,M8013C110,M8013C2,M8013C49,M8013C90,M8013C123,M8013C79,M8013C116,M8013C29,M8013C40,M8013C95,M8013C122,M8013C61,M8013C57,M8013C1,M8013C89,M8013C72,M8013C60,M8013C58,M8013C39,M8013C3,M8013C41
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,72,18.0,53.0,3.0,19,19.0,34.0,19,34.0,19.0,72,72,54.0,54.0,56.0,53.0,1.0,44.0,39.0,14.0,19,19.0,34.0,11.0,2.0,1.0,1.0,756231.0,1960379.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,75,26.0,44.0,6.0,21,19.0,30.0,18,29.0,19.0,75,75,50.0,50.0,50.0,44.0,4.0,33.0,37.0,7.0,21,19.0,30.0,4.0,4.0,,2.0,1235027.0,1834368.0,4.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,77,11.0,55.0,6.0,12,22.0,44.0,12,43.0,22.0,77,77,66.0,66.0,61.0,55.0,,59.0,47.0,8.0,12,22.0,44.0,13.0,3.0,,6.0,1798668.0,2500145.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,83,19.0,60.0,6.0,20,20.0,44.0,20,43.0,20.0,83,83,64.0,64.0,66.0,60.0,4.0,51.0,44.0,16.0,20,20.0,44.0,7.0,3.0,1.0,1.0,1166343.0,1931795.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,57,12.0,42.0,3.0,10,13.0,34.0,10,34.0,13.0,57,57,47.0,47.0,45.0,42.0,1.0,46.0,37.0,5.0,10,13.0,34.0,7.0,1.0,,2.0,1997602.0,1585872.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,47,17.0,29.0,2.0,17,16.0,14.0,17,14.0,16.0,47,47,31.0,30.0,31.0,29.0,1.0,29.0,26.0,3.0,17,16.0,14.0,1.0,2.0,,1.0,352703.0,848106.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,64,16.0,41.0,2.0,13,19.0,32.0,13,32.0,19.0,64,64,51.0,51.0,43.0,41.0,,43.0,34.0,7.0,13,19.0,32.0,8.0,3.0,,2.0,810196.0,1262126.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,97,28.0,61.0,10.0,29,15.0,54.0,27,54.0,15.0,97,97,70.0,70.0,71.0,61.0,4.0,50.0,42.0,19.0,29,15.0,54.0,18.0,5.0,2.0,4.0,784113.0,2051132.0,4.0,3.0,1.0,14.0,1.0,1.0,,,11.0,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,59,18.0,35.0,6.0,18,11.0,31.0,17,31.0,11.0,59,59,43.0,43.0,41.0,35.0,,26.0,28.0,7.0,18,11.0,32.0,28.0,1.0,,6.0,1207163.0,1415748.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,50,18.0,28.0,3.0,16,10.0,24.0,16,24.0,10.0,50,50,34.0,34.0,31.0,28.0,,18.0,22.0,6.0,16,10.0,24.0,10.0,2.0,,3.0,824556.0,1142972.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,62,25.0,37.0,1.0,29,18.0,17.0,27,17.0,18.0,62,62,37.0,36.0,38.0,37.0,,30.0,34.0,3.0,29,18.0,17.0,9.0,1.0,,1.0,1452362.0,1337013.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,66,8.0,55.0,,10,22.0,34.0,10,34.0,22.0,66,66,58.0,58.0,55.0,55.0,,51.0,47.0,8.0,10,22.0,34.0,1.0,,,,1506407.0,1976828.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,59,16.0,42.0,1.0,18,15.0,26.0,18,26.0,15.0,59,59,43.0,43.0,43.0,42.0,,39.0,36.0,6.0,18,15.0,26.0,3.0,,,1.0,1161935.0,1792329.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,53,18.0,34.0,1.0,18,15.0,20.0,18,20.0,15.0,53,53,35.0,35.0,35.0,34.0,,26.0,30.0,4.0,18,15.0,20.0,1.0,1.0,,1.0,965738.0,2049877.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,54,17.0,40.0,,17,15.0,22.0,17,22.0,15.0,54,54,37.0,37.0,40.0,40.0,,27.0,31.0,9.0,17,15.0,22.0,,,,,842487.0,1659662.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,68,25.0,40.0,,28,15.0,25.0,28,25.0,15.0,68,68,43.0,43.0,40.0,40.0,,39.0,35.0,5.0,28,15.0,25.0,,,,,1052991.0,1211114.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,41,17.0,24.0,1.0,17,12.0,12.0,17,12.0,12.0,41,41,24.0,24.0,25.0,24.0,1.0,12.0,18.0,6.0,17,12.0,12.0,,1.0,,,543074.0,1067220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,51,18.0,33.0,,19,13.0,19.0,19,19.0,13.0,51,51,33.0,33.0,33.0,33.0,,19.0,29.0,4.0,19,13.0,19.0,,,,,430507.0,998277.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,54,16.0,36.0,1.0,18,18.0,18.0,18,18.0,18.0,54,54,37.0,37.0,37.0,36.0,1.0,29.0,32.0,4.0,18,18.0,18.0,,1.0,,,385563.0,953007.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,44,12.0,29.0,,13,16.0,15.0,13,15.0,16.0,44,44,32.0,32.0,29.0,29.0,,21.0,24.0,5.0,13,16.0,15.0,,,,,597047.0,1055440.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,44,17.0,28.0,,17,9.0,18.0,17,18.0,9.0,44,44,27.0,27.0,28.0,28.0,,21.0,21.0,7.0,17,9.0,18.0,,,,,865112.0,1218716.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,46,19.0,26.0,,19,7.0,20.0,19,20.0,7.0,46,46,27.0,27.0,26.0,26.0,,20.0,23.0,3.0,19,7.0,20.0,,,,,966500.0,1012292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,37,19.0,18.0,,20,4.0,13.0,20,13.0,4.0,37,37,18.0,18.0,18.0,18.0,,18.0,16.0,2.0,20,4.0,13.0,,,,,1094309.0,663660.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,36,16.0,19.0,,16,10.0,10.0,16,10.0,10.0,36,36,20.0,20.0,19.0,19.0,,20.0,18.0,1.0,16,10.0,10.0,,,,,1461010.0,637738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,28,19.0,10.0,,19,5.0,4.0,19,4.0,5.0,28,28,9.0,9.0,10.0,10.0,,9.0,8.0,2.0,19,5.0,4.0,,,,,1651020.0,451631.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,27,19.0,8.0,,19,2.0,6.0,19,6.0,2.0,27,27,8.0,8.0,8.0,8.0,,8.0,7.0,1.0,19,2.0,6.0,,,,,1531370.0,377053.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,29,20.0,8.0,,22,2.0,5.0,22,5.0,2.0,29,29,8.0,8.0,8.0,8.0,,8.0,8.0,,22,2.0,5.0,,,,,1518083.0,389492.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-660701,31,21.0,10.0,,21,4.0,6.0,21,6.0,4.0,31,31,10.0,10.0,10.0,10.0,,10.0,9.0,1.0,21,4.0,6.0,,,,,1529122.0,402521.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-660701,27,18.0,9.0,,18,2.0,7.0,18,7.0,2.0,27,27,9.0,9.0,9.0,9.0,,9.0,8.0,1.0,18,2.0,7.0,,,,,1529622.0,440021.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-660701,42,21.0,21.0,,21,3.0,18.0,21,18.0,3.0,42,42,21.0,21.0,21.0,21.0,,14.0,18.0,3.0,21,3.0,18.0,,,,,630065.0,576373.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-660701,37,15.0,23.0,,17,8.0,12.0,17,12.0,8.0,37,37,21.0,21.0,23.0,23.0,,15.0,20.0,3.0,17,8.0,12.0,,,,,135417.0,384404.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-660701,31,16.0,15.0,,16,5.0,10.0,16,10.0,5.0,31,31,15.0,15.0,15.0,15.0,,9.0,14.0,1.0,16,5.0,10.0,,,,,90201.0,194466.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-660701,37,19.0,17.0,,19,2.0,16.0,19,16.0,2.0,37,37,18.0,18.0,17.0,17.0,,11.0,14.0,3.0,19,2.0,16.0,,,,,58262.0,244797.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-660701,36,24.0,13.0,,24,5.0,7.0,24,7.0,5.0,36,36,12.0,12.0,13.0,13.0,,12.0,13.0,,24,5.0,7.0,,,,,30877.0,150195.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-660701,35,18.0,16.0,,20,3.0,12.0,20,12.0,3.0,35,35,16.0,16.0,16.0,16.0,,9.0,16.0,,20,3.0,12.0,,,,,57680.0,189619.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-660701,32,20.0,10.0,,20,4.0,8.0,20,8.0,4.0,32,32,12.0,12.0,10.0,10.0,,10.0,9.0,1.0,20,4.0,8.0,,,,,24854.0,118422.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-660701,30,25.0,7.0,,25,1.0,4.0,25,4.0,1.0,30,30,5.0,5.0,7.0,7.0,,5.0,7.0,,25,1.0,4.0,,,,,7643.0,47884.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-660701,30,21.0,7.0,,23,3.0,4.0,23,4.0,3.0,30,30,8.0,8.0,7.0,7.0,,8.0,7.0,,23,3.0,4.0,,,,,13718.0,64153.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-660701,22,20.0,2.0,,20,,2.0,20,2.0,,22,22,2.0,2.0,2.0,2.0,,2.0,2.0,,20,,2.0,,,,,7856.0,24389.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-660701,30,23.0,8.0,,23,4.0,3.0,23,3.0,4.0,30,30,7.0,7.0,8.0,8.0,,5.0,8.0,,23,4.0,3.0,,,,,25943.0,78310.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-660701,28,21.0,6.0,,21,2.0,5.0,21,5.0,2.0,28,28,7.0,7.0,6.0,6.0,,4.0,6.0,,21,2.0,5.0,,,,,9206.0,61052.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-660701,27,21.0,6.0,,23,1.0,3.0,23,3.0,1.0,27,27,5.0,5.0,6.0,6.0,,2.0,6.0,,23,1.0,3.0,,,,,13865.0,67270.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-660701,27,22.0,5.0,,22,3.0,2.0,22,2.0,3.0,27,27,5.0,5.0,5.0,5.0,,5.0,5.0,,22,3.0,2.0,,,,,7968.0,48446.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-660701,29,21.0,8.0,,21,3.0,5.0,21,5.0,3.0,29,29,8.0,8.0,8.0,8.0,,5.0,8.0,,21,3.0,5.0,,,,,61917.0,73468.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-660701,22,16.0,6.0,,16,3.0,3.0,16,3.0,3.0,22,22,6.0,6.0,6.0,6.0,,4.0,6.0,,16,3.0,3.0,,,,,26486.0,84483.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-660701,39,25.0,12.0,,27,1.0,11.0,27,11.0,1.0,39,39,13.0,13.0,12.0,12.0,,7.0,11.0,1.0,27,1.0,11.0,,,,,22927.0,131467.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-660701,23,21.0,3.0,,21,1.0,1.0,21,1.0,1.0,23,23,2.0,2.0,3.0,3.0,,2.0,3.0,,21,1.0,1.0,,,,,3253.0,25232.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-660701,21,19.0,2.0,,19,,2.0,19,2.0,,21,21,2.0,2.0,2.0,2.0,,1.0,2.0,,19,,2.0,,,,,5471.0,28482.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-660701,29,24.0,5.0,,24,3.0,2.0,24,2.0,3.0,29,29,5.0,5.0,5.0,5.0,,3.0,5.0,,24,3.0,2.0,,,,,28217.0,63163.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-660701,33,23.0,8.0,,25,2.0,6.0,25,6.0,2.0,33,33,9.0,9.0,8.0,8.0,,5.0,8.0,,25,2.0,6.0,,,,,64936.0,207090.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-660701,26,16.0,11.0,,16,3.0,7.0,16,7.0,3.0,26,26,10.0,10.0,11.0,11.0,,6.0,10.0,1.0,16,3.0,7.0,,,,,36235.0,196884.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-660701,30,22.0,8.0,,22,2.0,6.0,22,6.0,2.0,30,30,8.0,8.0,8.0,8.0,,4.0,8.0,,22,2.0,6.0,,,,,11181.0,75002.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-660701,33,22.0,11.0,,22,4.0,7.0,22,7.0,4.0,33,33,11.0,11.0,11.0,11.0,,7.0,10.0,1.0,22,4.0,7.0,,,,,24575.0,129129.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-660701,28,19.0,8.0,,21,2.0,5.0,21,5.0,2.0,28,28,8.0,8.0,8.0,8.0,,5.0,8.0,,21,2.0,5.0,,,,,21512.0,80449.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:45:00.000-04:00:00,NE-MRBTS-660701,27,23.0,4.0,,23,1.0,3.0,23,3.0,1.0,27,27,4.0,4.0,4.0,4.0,,2.0,4.0,,23,1.0,3.0,,,,,7081.0,36593.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-660701,30,20.0,10.0,,20,5.0,5.0,20,5.0,5.0,30,30,10.0,10.0,10.0,10.0,,7.0,9.0,1.0,20,5.0,5.0,,,,,21860.0,122550.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-660701,25,19.0,5.0,,21,2.0,2.0,21,2.0,2.0,25,25,5.0,5.0,5.0,5.0,,3.0,5.0,,21,2.0,2.0,,,,,10784.0,49235.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-660701,33,23.0,10.0,,24,1.0,9.0,23,9.0,1.0,33,33,10.0,10.0,10.0,10.0,,8.0,10.0,,24,1.0,9.0,,,,,21167.0,100572.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:45:00.000-04:00:00,NE-MRBTS-660701,37,18.0,19.0,,18,3.0,16.0,18,16.0,3.0,37,37,19.0,19.0,19.0,19.0,,11.0,18.0,1.0,18,3.0,16.0,,,,,67576.0,227609.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-660701,29,23.0,6.0,,23,1.0,5.0,23,5.0,1.0,29,29,6.0,6.0,6.0,6.0,,5.0,6.0,,23,1.0,5.0,,,,,7762.0,55384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:15:00.000-04:00:00,NE-MRBTS-660701,41,25.0,15.0,,26,3.0,12.0,26,12.0,3.0,41,41,16.0,16.0,15.0,15.0,,13.0,14.0,1.0,26,3.0,12.0,,,,,59421.0,216768.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:30:00.000-04:00:00,NE-MRBTS-660701,35,16.0,17.0,1.0,17,4.0,14.0,17,14.0,4.0,35,35,19.0,19.0,18.0,17.0,1.0,12.0,17.0,,17,4.0,14.0,,1.0,,,52946.0,223565.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:45:00.000-04:00:00,NE-MRBTS-660701,50,15.0,33.0,,15,6.0,29.0,15,29.0,6.0,50,50,35.0,35.0,33.0,33.0,,31.0,26.0,7.0,15,6.0,29.0,,,,,935247.0,1129813.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-660701,71,19.0,47.0,2.0,20,9.0,42.0,20,42.0,9.0,71,71,52.0,52.0,49.0,47.0,1.0,43.0,37.0,10.0,23,9.0,42.0,1.0,1.0,1.0,,2047744.0,2169034.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
2025-05-07T06:15:00.000-04:00:00,NE-MRBTS-660701,92,21.0,71.0,3.0,23,20.0,49.0,23,49.0,20.0,92,92,72.0,72.0,74.0,71.0,,58.0,59.0,12.0,23,20.0,49.0,7.0,,1.0,2.0,918019.0,1835349.0,3.0,3.0,,26.0,1.0,,,,23.0,,,,,,,,,,,,,,,,,
2025-05-07T06:30:00.000-04:00:00,NE-MRBTS-660701,87,11.0,70.0,2.0,11,19.0,57.0,11,57.0,19.0,87,87,77.0,77.0,72.0,70.0,,64.0,60.0,10.0,11,19.0,57.0,5.0,,,2.0,2061619.0,2349906.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:45:00.000-04:00:00,NE-MRBTS-660701,88,16.0,75.0,,16,27.0,45.0,16,45.0,27.0,88,88,73.0,73.0,75.0,75.0,,58.0,59.0,16.0,16,27.0,45.0,,,,,1888966.0,3096099.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-660701,82,19.0,64.0,,16,24.0,39.0,16,39.0,24.0,82,82,64.0,64.0,64.0,64.0,,52.0,48.0,16.0,16,24.0,39.0,,1.0,,,1128470.0,2977935.0,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
