createAt,manageObject,M8036C0,M8036C1,M8036C2
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,10.0,10.0,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,79.0,70.0,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,15.0,14.0,
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,65.0,63.0,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,77.0,69.0,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,51.0,55.0,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,88.0,74.0,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,64.0,55.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,29.0,28.0,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,53.0,53.0,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,123.0,118.0,1.0
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,57.0,52.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,46.0,44.0,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,120.0,113.0,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,80.0,72.0,1.0
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,91.0,95.0,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,11.0,9.0,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,76.0,73.0,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,4.0,4.0,
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,125.0,131.0,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,10.0,10.0,
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,87.0,82.0,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,28.0,27.0,
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,15.0,14.0,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,11.0,11.0,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,15.0,12.0,
