createAt,manageObject,M8018C0,M8018C1,M8018C8,M8018C9
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-660701,3.0,7.0,2930.0,900
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-660701,3.0,7.0,3055.0,900
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-660701,5.0,8.0,4245.0,900
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-660701,3.0,7.0,3098.0,900
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-660701,4.0,7.0,3569.0,900
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-660701,1.0,4.0,1195.0,900
2025-05-06T15:45:00.000-04:00:00,NE-MRBTS-660701,2.0,6.0,2041.0,900
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,2787.0,900
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,2561.0,900
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-660701,2.0,5.0,1928.0,900
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,2778.0,900
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-660701,4.0,7.0,3485.0,900
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-660701,3.0,6.0,2953.0,900
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,3029.0,900
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,2505.0,900
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-660701,3.0,5.0,2262.0,900
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1612.0,900
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1432.0,900
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-660701,1.0,3.0,1342.0,900
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1654.0,900
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,2085.0,900
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1976.0,900
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1766.0,900
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-660701,2.0,5.0,2100.0,900
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,2104.0,900
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-660701,2.0,4.0,1908.0,900
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-660701,2.0,3.0,1907.0,900
