createAt,manageObject,M8204C22,M8204C59,M8204C62,M8204C111,M8204C119,M8204C94,M8204C95,M8204C56,M8204C74,M8204C10,M8204C23,M8204C32,M8204C33,M8204C48,M8204C49,M8204C50,M8204C65,M8204C66,M8204C67,M8204C68,M8204C69,M8204C99,M8204C103,M8204C107,M8204C115,M8204C88,M8204C51
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,152234,629976,118.0,118.0,523.0,23.0,259.0,7.0,137.0,34.0,240.0,16.0,3.0,1217.0,7064.0,259.0,1196.0,6736.0,10068.0,10678.0,28256.0,1476.0,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630008,,,,,,,,,,,,,,,,,,,,,,
